RequestID	OriginPort	DestinationPort	W_i_Earlist	LatestDestinationTime
174	A7	A6	1	180
175	A7	A8	1	180
176	A7	A9	1	180
177	A7	A10	1	180
178	A7	A11	1	180
179	A7	B1	1	180
180	A7	B2	1	180
181	A7	B3	1	180
182	A7	B4	1	180
183	A7	B5	1	180
184	A7	B6	1	180
185	A7	B7	1	180
186	A7	C1	1	180
187	A7	C2	1	180
188	A7	C3	1	180
189	A7	D1	1	180
190	A7	D2	1	180
191	A7	D3	1	180
192	A7	D4	1	180
193	A7	D5	1	180
194	A7	E1	1	180
195	A7	E2	1	180
196	A7	E3	1	180
197	A8	A1	1	180
198	A8	A2	1	180
199	A8	A3	1	180
200	A8	A4	1	180
201	A8	A5	1	180
202	A8	A6	1	180
203	A8	A7	1	180
204	A8	A9	1	180
205	A8	A10	1	180
206	A8	A11	1	180
207	A8	B1	1	180
208	A8	B2	1	180
209	A8	B3	1	180
210	A8	B4	1	180
211	A8	B5	1	180
212	A8	B6	1	180
213	A8	B7	1	180
214	A8	C1	1	180
215	A8	C2	1	180
216	A8	C3	1	180
217	A8	D1	1	180
218	A8	D2	1	180
219	A8	D3	1	180
220	A8	D4	1	180
221	A8	D5	1	180
222	A8	E1	1	180
223	A8	E2	1	180
224	A8	E3	1	180
225	A9	A1	1	180
226	A9	A2	1	180
227	A9	A3	1	180
228	A9	A4	1	180
229	A9	A5	1	180
230	A9	A6	1	180
231	A9	A7	1	180
232	A9	A8	1	180
233	A9	A10	1	180
234	A9	A11	1	180
235	A9	B1	1	180
236	A9	B2	1	180
237	A9	B3	1	180
238	A9	B4	1	180
239	A9	B5	1	180
240	A9	B6	1	180
241	A9	B7	1	180
242	A9	C1	1	180
243	A9	C2	1	180
244	A9	C3	1	180
245	A9	D1	1	180
246	A9	D2	1	180
247	A9	D3	1	180
248	A9	D4	1	180
249	A9	D5	1	180
250	A9	E1	1	180
251	A9	E2	1	180
252	A9	E3	1	180
253	A10	A1	1	180
254	A10	A2	1	180
255	A10	A3	1	180
256	A10	A4	1	180
257	A10	A5	1	180
258	A10	A6	1	180
259	A10	A7	1	180
260	A10	A8	1	180
261	A10	A9	1	180
262	A10	A11	1	180
263	A10	B1	1	180
264	A10	B2	1	180
265	A10	B3	1	180
266	A10	B4	1	180
267	A10	B5	1	180
268	A10	B6	1	180
269	A10	B7	1	180
270	A10	C1	1	180
271	A10	C2	1	180
272	A10	C3	1	180
273	A10	D1	1	180
274	A10	D2	1	180
275	A10	D3	1	180
276	A10	D4	1	180
277	A10	D5	1	180
278	A10	E1	1	180
279	A10	E2	1	180
280	A10	E3	1	180
281	A11	A1	1	180
282	A11	A2	1	180
283	A11	A3	1	180
284	A11	A4	1	180
285	A11	A5	1	180
286	A11	A6	1	180
287	A11	A7	1	180
288	A11	A8	1	180
289	A11	A9	1	180
290	A11	A10	1	180
291	A11	B1	1	180
292	A11	B2	1	180
293	A11	B3	1	180
294	A11	B4	1	180
295	A11	B5	1	180
296	A11	B6	1	180
297	A11	B7	1	180
298	A11	C1	1	180
299	A11	C2	1	180
300	A11	C3	1	180
301	A11	D1	1	180
302	A11	D2	1	180
303	A11	D3	1	180
304	A11	D4	1	180
305	A11	D5	1	180
306	A11	E1	1	180
307	A11	E2	1	180
308	A11	E3	1	180
309	B1	A1	1	180
310	B1	A2	1	180
311	B1	A3	1	180
312	B1	A4	1	180
313	B1	A5	1	180
314	B1	A6	1	180
315	B1	A7	1	180
316	B1	A8	1	180
317	B1	A9	1	180
318	B1	A10	1	180
319	B1	A11	1	180
320	B1	B2	1	180
321	B1	B3	1	180
322	B1	B4	1	180
323	B1	B5	1	180
324	B1	B6	1	180
325	B1	B7	1	180
326	B1	C1	1	180
327	B1	C2	1	180
328	B1	C3	1	180
329	B1	D1	1	180
330	B1	D2	1	180
331	B1	D3	1	180
332	B1	D4	1	180
333	B1	D5	1	180
334	B1	E1	1	180
335	B1	E2	1	180
336	B1	E3	1	180
337	B2	A1	1	180
338	B2	A2	1	180
339	B2	A3	1	180
340	B2	A4	1	180
341	B2	A5	1	180
342	B2	A6	1	180
343	B2	A7	1	180
344	B2	A8	1	180
345	B2	A9	1	180
346	B2	A10	1	180
347	B2	A11	1	180
348	B2	B1	1	180
349	B2	B3	1	180
350	B2	B4	1	180
351	B2	B5	1	180
352	B2	B6	1	180
353	B2	B7	1	180
354	B2	C1	1	180
355	B2	C2	1	180
356	B2	C3	1	180
357	B2	D1	1	180
358	B2	D2	1	180
359	B2	D3	1	180
360	B2	D4	1	180
361	B2	D5	1	180
362	B2	E1	1	180
363	B2	E2	1	180
364	B2	E3	1	180
365	B3	A1	1	180
366	B3	A2	1	180
367	B3	A3	1	180
368	B3	A4	1	180
369	B3	A5	1	180
370	B3	A6	1	180
371	B3	A7	1	180
372	B3	A8	1	180
373	B3	A9	1	180
374	B3	A10	1	180
375	B3	A11	1	180
376	B3	B1	1	180
377	B3	B2	1	180
378	B3	B4	1	180
379	B3	B5	1	180
380	B3	B6	1	180
381	B3	B7	1	180
382	B3	C1	1	180
383	B3	C2	1	180
384	B3	C3	1	180
385	B3	D1	1	180
386	B3	D2	1	180
387	B3	D3	1	180
388	B3	D4	1	180
389	B3	D5	1	180
390	B3	E1	1	180
391	B3	E2	1	180
392	B3	E3	1	180
393	B4	A1	1	180
394	B4	A2	1	180
395	B4	A3	1	180
396	B4	A4	1	180
397	B4	A5	1	180
398	B4	A6	1	180
399	B4	A7	1	180
400	B4	A8	1	180
401	B4	A9	1	180
402	B4	A10	1	180
403	B4	A11	1	180
404	B4	B1	1	180
405	B4	B2	1	180
406	B4	B3	1	180
407	B4	B5	1	180
408	B4	B6	1	180
409	B4	B7	1	180
410	B4	C1	1	180
411	B4	C2	1	180
412	B4	C3	1	180
413	B4	D1	1	180
414	B4	D2	1	180
415	B4	D3	1	180
416	B4	D4	1	180
417	B4	D5	1	180
418	B4	E1	1	180
419	B4	E2	1	180
420	B4	E3	1	180
421	B5	A1	1	180
422	B5	A2	1	180
423	B5	A3	1	180
424	B5	A4	1	180
425	B5	A5	1	180
426	B5	A6	1	180
427	B5	A7	1	180
428	B5	A8	1	180
429	B5	A9	1	180
430	B5	A10	1	180
431	B5	A11	1	180
432	B5	B1	1	180
433	B5	B2	1	180
434	B5	B3	1	180
435	B5	B4	1	180
436	B5	B6	1	180
437	B5	B7	1	180
438	B5	C1	1	180
439	B5	C2	1	180
440	B5	C3	1	180
441	B5	D1	1	180
442	B5	D2	1	180
443	B5	D3	1	180
444	B5	D4	1	180
445	B5	D5	1	180
446	B5	E1	1	180
447	B5	E2	1	180
448	B5	E3	1	180
449	B6	A1	1	180
450	B6	A2	1	180
451	B6	A3	1	180
452	B6	A4	1	180
453	B6	A5	1	180
454	B6	A6	1	180
455	B6	A7	1	180
456	B6	A8	1	180
457	B6	A9	1	180
458	B6	A10	1	180
459	B6	A11	1	180
460	B6	B1	1	180
461	B6	B2	1	180
462	B6	B3	1	180
463	B6	B4	1	180
464	B6	B5	1	180
465	B6	B7	1	180
466	B6	C1	1	180
467	B6	C2	1	180
468	B6	C3	1	180
469	B6	D1	1	180
470	B6	D2	1	180
471	B6	D3	1	180
472	B6	D4	1	180
473	B6	D5	1	180
474	B6	E1	1	180
475	B6	E2	1	180
476	B6	E3	1	180
477	B7	A1	1	180
478	B7	A2	1	180
479	B7	A3	1	180
480	B7	A4	1	180
481	B7	A5	1	180
482	B7	A6	1	180
483	B7	A7	1	180
484	B7	A8	1	180
485	B7	A9	1	180
486	B7	A10	1	180
487	B7	A11	1	180
488	B7	B1	1	180
489	B7	B2	1	180
490	B7	B3	1	180
491	B7	B4	1	180
492	B7	B5	1	180
493	B7	B6	1	180
494	B7	C1	1	180
495	B7	C2	1	180
496	B7	C3	1	180
497	B7	D1	1	180
498	B7	D2	1	180
499	B7	D3	1	180
500	B7	D4	1	180
501	B7	D5	1	180
502	B7	E1	1	180
503	B7	E2	1	180
504	B7	E3	1	180
505	C1	A1	1	180
506	C1	A2	1	180
507	C1	A3	1	180
508	C1	A4	1	180
509	C1	A5	1	180
510	C1	A6	1	180
511	C1	A7	1	180
512	C1	A8	1	180
513	C1	A9	1	180
514	C1	A10	1	180
515	C1	A11	1	180
516	C1	B1	1	180
517	C1	B2	1	180
518	C1	B3	1	180
519	C1	B4	1	180
520	C1	B5	1	180
521	C1	B6	1	180
522	C1	B7	1	180
523	C1	C2	1	180
524	C1	C3	1	180
525	C1	D1	1	180
526	C1	D2	1	180
527	C1	D3	1	180
528	C1	D4	1	180
529	C1	D5	1	180
530	C1	E1	1	180
531	C1	E2	1	180
532	C1	E3	1	180
533	C2	A1	1	180
534	C2	A2	1	180
535	C2	A3	1	180
536	C2	A4	1	180
537	C2	A5	1	180
538	C2	A6	1	180
539	C2	A7	1	180
540	C2	A8	1	180
541	C2	A9	1	180
542	C2	A10	1	180
543	C2	A11	1	180
544	C2	B1	1	180
545	C2	B2	1	180
546	C2	B3	1	180
547	C2	B4	1	180
548	C2	B5	1	180
549	C2	B6	1	180
550	C2	B7	1	180
551	C2	C1	1	180
552	C2	C3	1	180
553	C2	D1	1	180
554	C2	D2	1	180
555	C2	D3	1	180
556	C2	D4	1	180
557	C2	D5	1	180
558	C2	E1	1	180
559	C2	E2	1	180
560	C2	E3	1	180
561	C3	A1	1	180
562	C3	A2	1	180
563	C3	A3	1	180
564	C3	A4	1	180
565	C3	A5	1	180
566	C3	A6	1	180
567	C3	A7	1	180
568	C3	A8	1	180
569	C3	A9	1	180
570	C3	A10	1	180
571	C3	A11	1	180
572	C3	B1	1	180
573	C3	B2	1	180
574	C3	B3	1	180
575	C3	B4	1	180
576	C3	B5	1	180
577	C3	B6	1	180
578	C3	B7	1	180
579	C3	C1	1	180
580	C3	C2	1	180
581	C3	D1	1	180
582	C3	D2	1	180
583	C3	D3	1	180
584	C3	D4	1	180
585	C3	D5	1	180
586	C3	E1	1	180
587	C3	E2	1	180
588	C3	E3	1	180
589	D1	A1	1	180
590	D1	A2	1	180
591	D1	A3	1	180
592	D1	A4	1	180
593	D1	A5	1	180
594	D1	A6	1	180
595	D1	A7	1	180
596	D1	A8	1	180
597	D1	A9	1	180
598	D1	A10	1	180
599	D1	A11	1	180
600	D1	B1	1	180
601	D1	B2	1	180
602	D1	B3	1	180
603	D1	B4	1	180
604	D1	B5	1	180
605	D1	B6	1	180
606	D1	B7	1	180
607	D1	C1	1	180
608	D1	C2	1	180
609	D1	C3	1	180
610	D1	D2	1	180
611	D1	D3	1	180
612	D1	D4	1	180
613	D1	D5	1	180
614	D1	E1	1	180
615	D1	E2	1	180
616	D1	E3	1	180
617	D2	A1	1	180
618	D2	A2	1	180
619	D2	A3	1	180
620	D2	A4	1	180
621	D2	A5	1	180
622	D2	A6	1	180
623	D2	A7	1	180
624	D2	A8	1	180
625	D2	A9	1	180
626	D2	A10	1	180
627	D2	A11	1	180
628	D2	B1	1	180
629	D2	B2	1	180
630	D2	B3	1	180
631	D2	B4	1	180
632	D2	B5	1	180
633	D2	B6	1	180
634	D2	B7	1	180
635	D2	C1	1	180
636	D2	C2	1	180
637	D2	C3	1	180
638	D2	D1	1	180
639	D2	D3	1	180
640	D2	D4	1	180
641	D2	D5	1	180
642	D2	E1	1	180
643	D2	E2	1	180
644	D2	E3	1	180
645	D3	A1	1	180
646	D3	A2	1	180
647	D3	A3	1	180
648	D3	A4	1	180
649	D3	A5	1	180
650	D3	A6	1	180
651	D3	A7	1	180
652	D3	A8	1	180
653	D3	A9	1	180
654	D3	A10	1	180
655	D3	A11	1	180
656	D3	B1	1	180
657	D3	B2	1	180
658	D3	B3	1	180
659	D3	B4	1	180
660	D3	B5	1	180
661	D3	B6	1	180
662	D3	B7	1	180
663	D3	C1	1	180
664	D3	C2	1	180
665	D3	C3	1	180
666	D3	D1	1	180
667	D3	D2	1	180
668	D3	D4	1	180
669	D3	D5	1	180
670	D3	E1	1	180
671	D3	E2	1	180
672	D3	E3	1	180
673	D4	A1	1	180
674	D4	A2	1	180
675	D4	A3	1	180
676	D4	A4	1	180
677	D4	A5	1	180
678	D4	A6	1	180
679	D4	A7	1	180
680	D4	A8	1	180
681	D4	A9	1	180
682	D4	A10	1	180
683	D4	A11	1	180
684	D4	B1	1	180
685	D4	B2	1	180
686	D4	B3	1	180
687	D4	B4	1	180
688	D4	B5	1	180
689	D4	B6	1	180
690	D4	B7	1	180
691	D4	C1	1	180
692	D4	C2	1	180
693	D4	C3	1	180
694	D4	D1	1	180
695	D4	D2	1	180
696	D4	D3	1	180
697	D4	D5	1	180
698	D4	E1	1	180
699	D4	E2	1	180
700	D4	E3	1	180
701	D5	A1	1	180
702	D5	A2	1	180
703	D5	A3	1	180
704	D5	A4	1	180
705	D5	A5	1	180
706	D5	A6	1	180
707	D5	A7	1	180
708	D5	A8	1	180
709	D5	A9	1	180
710	D5	A10	1	180
711	D5	A11	1	180
712	D5	B1	1	180
713	D5	B2	1	180
714	D5	B3	1	180
715	D5	B4	1	180
716	D5	B5	1	180
717	D5	B6	1	180
718	D5	B7	1	180
719	D5	C1	1	180
720	D5	C2	1	180
721	D5	C3	1	180
722	D5	D1	1	180
723	D5	D2	1	180
724	D5	D3	1	180
725	D5	D4	1	180
726	D5	E1	1	180
727	D5	E2	1	180
728	D5	E3	1	180
729	E1	A1	1	180
730	E1	A2	1	180
731	E1	A3	1	180
732	E1	A4	1	180
733	E1	A5	1	180
734	E1	A6	1	180
735	E1	A7	1	180
736	E1	A8	1	180
737	E1	A9	1	180
738	E1	A10	1	180
739	E1	A11	1	180
740	E1	B1	1	180
741	E1	B2	1	180
742	E1	B3	1	180
743	E1	B4	1	180
744	E1	B5	1	180
745	E1	B6	1	180
746	E1	B7	1	180
747	E1	C1	1	180
748	E1	C2	1	180
749	E1	C3	1	180
750	E1	D1	1	180
751	E1	D2	1	180
752	E1	D3	1	180
753	E1	D4	1	180
754	E1	D5	1	180
755	E1	E2	1	180
756	E1	E3	1	180
757	E2	A1	1	180
758	E2	A2	1	180
759	E2	A3	1	180
760	E2	A4	1	180
761	E2	A5	1	180
762	E2	A6	1	180
763	E2	A7	1	180
764	E2	A8	1	180
765	E2	A9	1	180
766	E2	A10	1	180
767	E2	A11	1	180
768	E2	B1	1	180
769	E2	B2	1	180
770	E2	B3	1	180
771	E2	B4	1	180
772	E2	B5	1	180
773	E2	B6	1	180
774	E2	B7	1	180
775	E2	C1	1	180
776	E2	C2	1	180
777	E2	C3	1	180
778	E2	D1	1	180
779	E2	D2	1	180
780	E2	D3	1	180
781	E2	D4	1	180
782	E2	D5	1	180
783	E2	E1	1	180
784	E2	E3	1	180
785	E3	A1	1	180
786	E3	A2	1	180
787	E3	A3	1	180
788	E3	A4	1	180
789	E3	A5	1	180
790	E3	A6	1	180
791	E3	A7	1	180
792	E3	A8	1	180
793	E3	A9	1	180
794	E3	A10	1	180
795	E3	A11	1	180
796	E3	B1	1	180
797	E3	B2	1	180
798	E3	B3	1	180
799	E3	B4	1	180
800	E3	B5	1	180
801	E3	B6	1	180
802	E3	B7	1	180
803	E3	C1	1	180
804	E3	C2	1	180
805	E3	C3	1	180
806	E3	D1	1	180
807	E3	D2	1	180
808	E3	D3	1	180
809	E3	D4	1	180
810	E3	D5	1	180
811	E3	E1	1	180
812	E3	E2	1	180
