RequestID	OriginPort	DestinationPort	W_i_Earlist	LatestDestinationTime
225	A9	A1	1	180
226	A9	A2	1	180
228	A9	A4	1	180
230	A9	A6	1	180
236	A9	B2	1	180
242	A9	C1	1	180
243	A9	C2	1	180
244	A9	C3	1	180
245	A9	D1	1	180
247	A9	D3	1	180
253	A10	A1	1	180
254	A10	A2	1	180
255	A10	A3	1	180
256	A10	A4	1	180
258	A10	A6	1	180
264	A10	B2	1	180
270	A10	C1	1	180
271	A10	C2	1	180
272	A10	C3	1	180
273	A10	D1	1	180
275	A10	D3	1	180
281	A11	A1	1	180
282	A11	A2	1	180
284	A11	A4	1	180
286	A11	A6	1	180
288	A11	A8	1	180
292	A11	B2	1	180
298	A11	C1	1	180
299	A11	C2	1	180
300	A11	C3	1	180
301	A11	D1	1	180
303	A11	D3	1	180
309	B1	A1	1	180
310	B1	A2	1	180
312	B1	A4	1	180
314	B1	A6	1	180
315	B1	A7	1	180
320	B1	B2	1	180
326	B1	C1	1	180
327	B1	C2	1	180
328	B1	C3	1	180
329	B1	D1	1	180
331	B1	D3	1	180
337	B2	A1	1	180
338	B2	A2	1	180
340	B2	A4	1	180
342	B2	A6	1	180
343	B2	A7	1	180
345	B2	A9	1	180
348	B2	B1	1	180
349	B2	B3	1	180
354	B2	C1	1	180
355	B2	C2	1	180
356	B2	C3	1	180
357	B2	D1	1	180
359	B2	D3	1	180
365	B3	A1	1	180
366	B3	A2	1	180
368	B3	A4	1	180
370	B3	A6	1	180
372	B3	A8	1	180
377	B3	B2	1	180
382	B3	C1	1	180
383	B3	C2	1	180
384	B3	C3	1	180
385	B3	D1	1	180
387	B3	D3	1	180
393	B4	A1	1	180
394	B4	A2	1	180
396	B4	A4	1	180
398	B4	A6	1	180
405	B4	B2	1	180
407	B4	B5	1	180
410	B4	C1	1	180
411	B4	C2	1	180
412	B4	C3	1	180
413	B4	D1	1	180
415	B4	D3	1	180
421	B5	A1	1	180
422	B5	A2	1	180
424	B5	A4	1	180
426	B5	A6	1	180
433	B5	B2	1	180
438	B5	C1	1	180
439	B5	C2	1	180
440	B5	C3	1	180
441	B5	D1	1	180
443	B5	D3	1	180
449	B6	A1	1	180
450	B6	A2	1	180
452	B6	A4	1	180
454	B6	A6	1	180
461	B6	B2	1	180
465	B6	B7	1	180
466	B6	C1	1	180
467	B6	C2	1	180
468	B6	C3	1	180
469	B6	D1	1	180
471	B6	D3	1	180
473	B6	D5	1	180
477	B7	A1	1	180
478	B7	A2	1	180
480	B7	A4	1	180
482	B7	A6	1	180
489	B7	B2	1	180
494	B7	C1	1	180
495	B7	C2	1	180
496	B7	C3	1	180
497	B7	D1	1	180
499	B7	D3	1	180
501	B7	D5	1	180
505	C1	A1	1	180
506	C1	A2	1	180
508	C1	A4	1	180
510	C1	A6	1	180
517	C1	B2	1	180
523	C1	C2	1	180
524	C1	C3	1	180
525	C1	D1	1	180
527	C1	D3	1	180
533	C2	A1	1	180
534	C2	A2	1	180
536	C2	A4	1	180
538	C2	A6	1	180
545	C2	B2	1	180
551	C2	C1	1	180
552	C2	C3	1	180
553	C2	D1	1	180
555	C2	D3	1	180
561	C3	A1	1	180
562	C3	A2	1	180
564	C3	A4	1	180
566	C3	A6	1	180
573	C3	B2	1	180
579	C3	C1	1	180
580	C3	C2	1	180
581	C3	D1	1	180
583	C3	D3	1	180
589	D1	A1	1	180
590	D1	A2	1	180
592	D1	A4	1	180
594	D1	A6	1	180
601	D1	B2	1	180
607	D1	C1	1	180
608	D1	C2	1	180
609	D1	C3	1	180
610	D1	D2	1	180
611	D1	D3	1	180
617	D2	A1	1	180
618	D2	A2	1	180
620	D2	A4	1	180
622	D2	A6	1	180
629	D2	B2	1	180
635	D2	C1	1	180
636	D2	C2	1	180
637	D2	C3	1	180
638	D2	D1	1	180
639	D2	D3	1	180
645	D3	A1	1	180
646	D3	A2	1	180
648	D3	A4	1	180
650	D3	A6	1	180
657	D3	B2	1	180
661	D3	B6	1	180
662	D3	B7	1	180
663	D3	C1	1	180
664	D3	C2	1	180
665	D3	C3	1	180
666	D3	D1	1	180
668	D3	D4	1	180
669	D3	D5	1	180
670	D3	E1	1	180
671	D3	E2	1	180
672	D3	E3	1	180
673	D4	A1	1	180
674	D4	A2	1	180
676	D4	A4	1	180
678	D4	A6	1	180
685	D4	B2	1	180
691	D4	C1	1	180
692	D4	C2	1	180
693	D4	C3	1	180
694	D4	D1	1	180
696	D4	D3	1	180
698	D4	E1	1	180
699	D4	E2	1	180
700	D4	E3	1	180
701	D5	A1	1	180
702	D5	A2	1	180
704	D5	A4	1	180
706	D5	A6	1	180
713	D5	B2	1	180
719	D5	C1	1	180
720	D5	C2	1	180
721	D5	C3	1	180
722	D5	D1	1	180
724	D5	D3	1	180
729	E1	A1	1	180
730	E1	A2	1	180
732	E1	A4	1	180
734	E1	A6	1	180
741	E1	B2	1	180
747	E1	C1	1	180
748	E1	C2	1	180
749	E1	C3	1	180
750	E1	D1	1	180
752	E1	D3	1	180
755	E1	E2	1	180
756	E1	E3	1	180
757	E2	A1	1	180
758	E2	A2	1	180
760	E2	A4	1	180
762	E2	A6	1	180
769	E2	B2	1	180
775	E2	C1	1	180
776	E2	C2	1	180
777	E2	C3	1	180
778	E2	D1	1	180
780	E2	D3	1	180
784	E2	E3	1	180
785	E3	A1	1	180
786	E3	A2	1	180
788	E3	A4	1	180
790	E3	A6	1	180
797	E3	B2	1	180
803	E3	C1	1	180
804	E3	C2	1	180
805	E3	C3	1	180
806	E3	D1	1	180
808	E3	D3	1	180
