RequestID	OriginPort	DestinationPort	subDestination
223	A8	E2	D3
224	A8	E3	D3
227	A9	A3	A2
229	A9	A5	A6
231	A9	A7	B2
233	A9	A10	A2
234	A9	A11	A8
235	A9	B1	B2
237	A9	B3	B2
238	A9	B4	A1
239	A9	B5	A1
240	A9	B6	D3
241	A9	B7	D3
246	A9	D2	D1
248	A9	D4	D3
249	A9	D5	D3
250	A9	E1	D3
251	A9	E2	D3
252	A9	E3	D3
257	A10	A5	A6
259	A10	A7	B2
261	A10	A9	A4
262	A10	A11	A8
263	A10	B1	B2
265	A10	B3	B2
266	A10	B4	A1
267	A10	B5	A1
268	A10	B6	D3
269	A10	B7	D3
270	A10	C1	A4
271	A10	C2	A4
272	A10	C3	A4
274	A10	D2	D1
276	A10	D4	D3
277	A10	D5	D3
278	A10	E1	D3
279	A10	E2	D3
280	A10	E3	D3
283	A11	A3	A2
285	A11	A5	A6
287	A11	A7	B2
289	A11	A9	A4
290	A11	A10	A2
291	A11	B1	B2
293	A11	B3	B2
294	A11	B4	A1
295	A11	B5	A1
296	A11	B6	D3
297	A11	B7	D3
298	A11	C1	A4
299	A11	C2	A4
300	A11	C3	A4
302	A11	D2	D1
304	A11	D4	D3
305	A11	D5	D3
306	A11	E1	D3
307	A11	E2	D3
308	A11	E3	D3
311	B1	A3	A2
313	B1	A5	A6
317	B1	A9	A4
318	B1	A10	A2
319	B1	A11	A8
321	B1	B3	B2
322	B1	B4	A1
323	B1	B5	A1
324	B1	B6	D3
325	B1	B7	D3
326	B1	C1	A4
327	B1	C2	A4
328	B1	C3	A4
330	B1	D2	D1
332	B1	D4	D3
333	B1	D5	D3
334	B1	E1	D3
335	B1	E2	D3
336	B1	E3	D3
339	B2	A3	A2
341	B2	A5	A6
345	B2	A9	A4
346	B2	A10	A2
347	B2	A11	A8
350	B2	B4	A1
351	B2	B5	A1
352	B2	B6	D3
353	B2	B7	D3
354	B2	C1	A4
355	B2	C2	A4
356	B2	C3	A4
358	B2	D2	D1
360	B2	D4	D3
361	B2	D5	D3
362	B2	E1	D3
363	B2	E2	D3
364	B2	E3	D3
367	B3	A3	A2
369	B3	A5	A6
371	B3	A7	B2
373	B3	A9	A4
374	B3	A10	A2
375	B3	A11	A8
376	B3	B1	B2
378	B3	B4	A1
379	B3	B5	A1
380	B3	B6	D3
381	B3	B7	D3
382	B3	C1	A4
383	B3	C2	A4
384	B3	C3	A4
386	B3	D2	D1
388	B3	D4	D3
389	B3	D5	D3
390	B3	E1	D3
391	B3	E2	D3
392	B3	E3	D3
395	B4	A3	A2
397	B4	A5	A6
399	B4	A7	B2
401	B4	A9	A4
402	B4	A10	A2
403	B4	A11	A8
404	B4	B1	B2
406	B4	B3	B2
408	B4	B6	D3
409	B4	B7	D3
410	B4	C1	A4
411	B4	C2	A4
412	B4	C3	A4
414	B4	D2	D1
416	B4	D4	D3
417	B4	D5	D3
418	B4	E1	D3
419	B4	E2	D3
420	B4	E3	D3
423	B5	A3	A2
425	B5	A5	A6
427	B5	A7	B2
429	B5	A9	A4
430	B5	A10	A2
431	B5	A11	A8
432	B5	B1	B2
434	B5	B3	B2
435	B5	B4	A1
436	B5	B6	D3
437	B5	B7	D3
438	B5	C1	A4
439	B5	C2	A4
440	B5	C3	A4
442	B5	D2	D1
444	B5	D4	D3
445	B5	D5	D3
446	B5	E1	D3
447	B5	E2	D3
448	B5	E3	D3
451	B6	A3	A2
453	B6	A5	A6
455	B6	A7	B2
457	B6	A9	A4
458	B6	A10	A2
459	B6	A11	A8
460	B6	B1	B2
462	B6	B3	B2
463	B6	B4	A1
464	B6	B5	A1
466	B6	C1	A4
467	B6	C2	A4
468	B6	C3	A4
470	B6	D2	D1
472	B6	D4	D3
474	B6	E1	D3
475	B6	E2	D3
476	B6	E3	D3
479	B7	A3	A2
481	B7	A5	A6
483	B7	A7	B2
485	B7	A9	A4
486	B7	A10	A2
487	B7	A11	A8
488	B7	B1	B2
490	B7	B3	B2
491	B7	B4	A1
492	B7	B5	A1
493	B7	B6	D3
494	B7	C1	A4
495	B7	C2	A4
496	B7	C3	A4
498	B7	D2	D1
500	B7	D4	D3
502	B7	E1	D3
503	B7	E2	D3
504	B7	E3	D3
507	C1	A3	A2
509	C1	A5	A6
511	C1	A7	B2
513	C1	A9	A4
514	C1	A10	A2
515	C1	A11	A8
516	C1	B1	B2
518	C1	B3	B2
519	C1	B4	A1
520	C1	B5	A1
521	C1	B6	D3
522	C1	B7	D3
523	C1	C2	A4
524	C1	C3	A4
526	C1	D2	D1
528	C1	D4	D3
529	C1	D5	D3
530	C1	E1	D3
531	C1	E2	D3
532	C1	E3	D3
535	C2	A3	A2
537	C2	A5	A6
539	C2	A7	B2
541	C2	A9	A4
542	C2	A10	A2
543	C2	A11	A8
544	C2	B1	B2
546	C2	B3	B2
547	C2	B4	A1
548	C2	B5	A1
549	C2	B6	D3
550	C2	B7	D3
552	C2	C3	A4
554	C2	D2	D1
556	C2	D4	D3
557	C2	D5	D3
558	C2	E1	D3
559	C2	E2	D3
560	C2	E3	D3
563	C3	A3	A2
565	C3	A5	A6
567	C3	A7	B2
569	C3	A9	A4
570	C3	A10	A2
571	C3	A11	A8
572	C3	B1	B2
574	C3	B3	B2
575	C3	B4	A1
576	C3	B5	A1
577	C3	B6	D3
578	C3	B7	D3
582	C3	D2	D1
584	C3	D4	D3
585	C3	D5	D3
586	C3	E1	D3
587	C3	E2	D3
588	C3	E3	D3
591	D1	A3	A2
593	D1	A5	A6
595	D1	A7	B2
597	D1	A9	A4
598	D1	A10	A2
599	D1	A11	A8
600	D1	B1	B2
602	D1	B3	B2
603	D1	B4	A1
604	D1	B5	A1
605	D1	B6	D3
606	D1	B7	D3
607	D1	C1	A4
608	D1	C2	A4
609	D1	C3	A4
612	D1	D4	D3
613	D1	D5	D3
614	D1	E1	D3
615	D1	E2	D3
616	D1	E3	D3
619	D2	A3	A2
621	D2	A5	A6
623	D2	A7	B2
625	D2	A9	A4
626	D2	A10	A2
627	D2	A11	A8
628	D2	B1	B2
630	D2	B3	B2
631	D2	B4	A1
632	D2	B5	A1
633	D2	B6	D3
634	D2	B7	D3
635	D2	C1	A4
636	D2	C2	A4
637	D2	C3	A4
640	D2	D4	D3
641	D2	D5	D3
642	D2	E1	D3
643	D2	E2	D3
644	D2	E3	D3
647	D3	A3	A2
649	D3	A5	A6
651	D3	A7	B2
653	D3	A9	A4
654	D3	A10	A2
655	D3	A11	A8
656	D3	B1	B2
658	D3	B3	B2
659	D3	B4	A1
660	D3	B5	A1
663	D3	C1	A4
664	D3	C2	A4
665	D3	C3	A4
667	D3	D2	D1
675	D4	A3	A2
677	D4	A5	A6
679	D4	A7	B2
681	D4	A9	A4
682	D4	A10	A2
683	D4	A11	A8
684	D4	B1	B2
686	D4	B3	B2
687	D4	B4	A1
688	D4	B5	A1
689	D4	B6	D3
690	D4	B7	D3
691	D4	C1	A4
692	D4	C2	A4
693	D4	C3	A4
695	D4	D2	D1
697	D4	D5	D3
703	D5	A3	A2
705	D5	A5	A6
707	D5	A7	B2
709	D5	A9	A4
710	D5	A10	A2
711	D5	A11	A8
712	D5	B1	B2
714	D5	B3	B2
715	D5	B4	A1
716	D5	B5	A1
717	D5	B6	D3
718	D5	B7	D3
719	D5	C1	A4
720	D5	C2	A4
721	D5	C3	A4
723	D5	D2	D1
725	D5	D4	D3
726	D5	E1	D3
727	D5	E2	D3
728	D5	E3	D3
731	E1	A3	A2
733	E1	A5	A6
735	E1	A7	B2
737	E1	A9	A4
738	E1	A10	A2
739	E1	A11	A8
740	E1	B1	B2
742	E1	B3	B2
743	E1	B4	A1
744	E1	B5	A1
745	E1	B6	D3
746	E1	B7	D3
747	E1	C1	A4
748	E1	C2	A4
749	E1	C3	A4
751	E1	D2	D1
753	E1	D4	D3
754	E1	D5	D3
759	E2	A3	A2
761	E2	A5	A6
763	E2	A7	B2
765	E2	A9	A4
766	E2	A10	A2
767	E2	A11	A8
768	E2	B1	B2
770	E2	B3	B2
771	E2	B4	A1
772	E2	B5	A1
773	E2	B6	D3
774	E2	B7	D3
775	E2	C1	A4
776	E2	C2	A4
777	E2	C3	A4
779	E2	D2	D1
781	E2	D4	D3
782	E2	D5	D3
783	E2	E1	D3
787	E3	A3	A2
789	E3	A5	A6
791	E3	A7	B2
793	E3	A9	A4
794	E3	A10	A2
795	E3	A11	A8
796	E3	B1	B2
798	E3	B3	B2
799	E3	B4	A1
800	E3	B5	A1
801	E3	B6	D3
802	E3	B7	D3
803	E3	C1	A4
804	E3	C2	A4
805	E3	C3	A4
807	E3	D2	D1
809	E3	D4	D3
810	E3	D5	D3
811	E3	E1	D3
812	E3	E2	D3

