RequestID	OriginPort	DestinationPort	W_i_Earlist	LatestDestinationTime	LadenPaths	NumberOfLadenPath	EmptyPaths	NumberOfEmptyPath
18	AGADIR	ANTWERP	120	145	84,85,86	3	690,691,1306,2087,2088,2700,3377,3378,4003,4004,4814,4815,5507,5508,6232,7223,7224,7837,7838,8485,9012,9686,9687,10301,10304,11179,11180,11996,12814,12815,13425	31
19	AGADIR	ANTWERP	127	152	86,87	2	692,693,1307,2089,2090,2701,3379,3380,4005,4006,4816,4817,5509,5510,6233,7225,7226,7839,7840,8486,9013,9688,9689,10303,10306,11181,11182,11997,12816,12817,13426	31
20	AGADIR	ANTWERP	134	159	87,88	2	694,695,1308,2091,2092,2702,3381,3382,4007,4008,4818,4819,5511,5512,6234,7227,7228,7841,7842,8487,9014,9690,9691,10305,10308,11183,11184,11998,12818,12819,13427	31
21	AGADIR	ANTWERP	141	166	88,89	2	696,697,1309,2093,2094,2703,3383,3384,4009,4010,4820,4821,5513,5514,6235,7229,7230,7843,7844,8488,9015,9692,9693,10307,10310,11185,11186,11999,12820,12821,13428	31
22	AGADIR	ANTWERP	148	173	89	1	698,699,1310,2095,2096,2704,3385,3386,4011,4012,4822,4823,5515,5516,6236,7231,7232,7845,7846,8489,9016,9694,9695,10309,10312,11187,11188,12000,12822,12823,13429	31
23	AGADIR	ANTWERP	155	180	0	0	700,701,1311,2097,2098,2705,3387,3388,4013,4014,4824,4825,5517,5518,6237,7233,7234,7847,7848,8490,9017,9696,9697,10311,10313,11189,11190,12001,12824,12825,13430	31
24	AGADIR	ANTWERP	162	180	0	0	0	0
25	AGADIR	ANTWERP	169	180	0	0	0	0
26	AGADIR	ANTWERP	176	180	0	0	0	0
27	AGADIR	BEIRUT	1	50	90,91	2	0	0
28	AGADIR	BEIRUT	8	57	90,91,92,93,94	5	0	0
29	AGADIR	BEIRUT	15	64	94,95,96	3	2685,11981	2
30	AGADIR	BEIRUT	22	71	96,97,98	3	2686,11982	2
31	AGADIR	BEIRUT	29	78	98,99,100	3	2687,11983	2
32	AGADIR	BEIRUT	36	85	100,101,102	3	2688,11984	2
33	AGADIR	BEIRUT	43	92	102,103,104	3	1294,1295,2689,3978,3979,3980,3981,6218,6219,6220,8474,9000,10278,10279,10281,11157,11158,11985,13414	19
34	AGADIR	BEIRUT	50	99	104,105,106	3	1296,2690,3982,3983,3984,4795,5488,6221,6222,7818,8475,9001,9002,10280,10282,10284,11159,11160,11986,12795,13415	21
35	AGADIR	BEIRUT	57	106	106,107,108	3	673,1297,2070,2691,3360,3985,3986,4796,4797,5489,5490,6223,7206,7819,7820,8476,9003,9669,10283,10286,11161,11162,11987,12796,12797,13416	26
36	AGADIR	BEIRUT	64	113	108,109,110	3	674,675,1298,2071,2072,2692,3361,3362,3987,3988,4798,4799,5491,5492,6224,7207,7208,7821,7822,8477,9004,9670,9671,10285,10288,11163,11164,11988,12798,12799,13417	31
37	AGADIR	BEIRUT	71	120	110,111,112	3	676,677,1299,2073,2074,2693,3363,3364,3989,3990,4800,4801,5493,5494,6225,7209,7210,7823,7824,8478,9005,9672,9673,10287,10290,11165,11166,11989,12800,12801,13418	31
38	AGADIR	BEIRUT	78	127	112,113,114	3	678,679,1300,2075,2076,2694,3365,3366,3991,3992,4802,4803,5495,5496,6226,7211,7212,7825,7826,8479,9006,9674,9675,10289,10292,11167,11168,11990,12802,12803,13419	31
39	AGADIR	BEIRUT	85	134	114,115,116	3	680,681,1301,2077,2078,2695,3367,3368,3993,3994,4804,4805,5497,5498,6227,7213,7214,7827,7828,8480,9007,9676,9677,10291,10294,11169,11170,11991,12804,12805,13420	31
40	AGADIR	BEIRUT	92	141	116,117,118	3	682,683,1302,2079,2080,2696,3369,3370,3995,3996,4806,4807,5499,5500,6228,7215,7216,7829,7830,8481,9008,9678,9679,10293,10296,11171,11172,11992,12806,12807,13421	31
41	AGADIR	BEIRUT	99	148	118,119,120	3	684,685,1303,2081,2082,2697,3371,3372,3997,3998,4808,4809,5501,5502,6229,7217,7218,7831,7832,8482,9009,9680,9681,10295,10298,11173,11174,11993,12808,12809,13422	31
42	AGADIR	BEIRUT	106	155	120,121,122	3	686,687,1304,2083,2084,2698,3373,3374,3999,4000,4810,4811,5503,5504,6230,7219,7220,7833,7834,8483,9010,9682,9683,10297,10300,11175,11176,11994,12810,12811,13423	31
43	AGADIR	BEIRUT	113	162	122,123,124	3	688,689,1305,2085,2086,2699,3375,3376,4001,4002,4812,4813,5505,5506,6231,7221,7222,7835,7836,8484,9011,9684,9685,10299,10302,11177,11178,11995,12812,12813,13424	31
44	AGADIR	BEIRUT	120	169	124	1	690,691,1306,2087,2088,2700,3377,3378,4003,4004,4814,4815,5507,5508,6232,7223,7224,7837,7838,8485,9012,9686,9687,10301,10304,11179,11180,11996,12814,12815,13425	31
45	AGADIR	BEIRUT	127	176	0	0	692,693,1307,2089,2090,2701,3379,3380,4005,4006,4816,4817,5509,5510,6233,7225,7226,7839,7840,8486,9013,9688,9689,10303,10306,11181,11182,11997,12816,12817,13426	31
46	AGADIR	BEIRUT	134	180	0	0	694,695,1308,2091,2092,2702,3381,3382,4007,4008,4818,4819,5511,5512,6234,7227,7228,7841,7842,8487,9014,9690,9691,10305,10308,11183,11184,11998,12818,12819,13427	31
47	AGADIR	BEIRUT	141	180	0	0	696,697,1309,2093,2094,2703,3383,3384,4009,4010,4820,4821,5513,5514,6235,7229,7230,7843,7844,8488,9015,9692,9693,10307,10310,11185,11186,11999,12820,12821,13428	31
48	AGADIR	BEIRUT	148	180	0	0	698,699,1310,2095,2096,2704,3385,3386,4011,4012,4822,4823,5515,5516,6236,7231,7232,7845,7846,8489,9016,9694,9695,10309,10312,11187,11188,12000,12822,12823,13429	31
49	AGADIR	BEIRUT	155	180	0	0	700,701,1311,2097,2098,2705,3387,3388,4013,4014,4824,4825,5517,5518,6237,7233,7234,7847,7848,8490,9017,9696,9697,10311,10313,11189,11190,12001,12824,12825,13430	31
50	AGADIR	BEIRUT	162	180	0	0	0	0
51	AGADIR	BEIRUT	169	180	0	0	0	0
52	AGADIR	BEIRUT	176	180	0	0	0	0
53	AGADIR	FELIXSTOWE	1	52	178,179	2	0	0
54	AGADIR	FELIXSTOWE	8	59	178,179,180,181,182	5	0	0
55	AGADIR	FELIXSTOWE	15	66	182,183,184	3	2685,11981	2
56	AGADIR	FELIXSTOWE	22	73	184,185,186	3	2686,11982	2
57	AGADIR	FELIXSTOWE	29	80	186,187,188	3	2687,11983	2
58	AGADIR	FELIXSTOWE	36	87	188,189,190	3	2688,11984	2
59	AGADIR	FELIXSTOWE	43	94	190,191,192	3	1294,1295,2689,3978,3979,3980,3981,6218,6219,6220,8474,9000,10278,10279,10281,11157,11158,11985,13414	19
60	AGADIR	FELIXSTOWE	50	101	192,193,194	3	1296,2690,3982,3983,3984,4795,5488,6221,6222,7818,8475,9001,9002,10280,10282,10284,11159,11160,11986,12795,13415	21
61	AGADIR	FELIXSTOWE	57	108	194,195,196	3	673,1297,2070,2691,3360,3985,3986,4796,4797,5489,5490,6223,7206,7819,7820,8476,9003,9669,10283,10286,11161,11162,11987,12796,12797,13416	26
62	AGADIR	FELIXSTOWE	64	115	196,197,198	3	674,675,1298,2071,2072,2692,3361,3362,3987,3988,4798,4799,5491,5492,6224,7207,7208,7821,7822,8477,9004,9670,9671,10285,10288,11163,11164,11988,12798,12799,13417	31
63	AGADIR	FELIXSTOWE	71	122	198,199,200	3	676,677,1299,2073,2074,2693,3363,3364,3989,3990,4800,4801,5493,5494,6225,7209,7210,7823,7824,8478,9005,9672,9673,10287,10290,11165,11166,11989,12800,12801,13418	31
64	AGADIR	FELIXSTOWE	78	129	200,201,202	3	678,679,1300,2075,2076,2694,3365,3366,3991,3992,4802,4803,5495,5496,6226,7211,7212,7825,7826,8479,9006,9674,9675,10289,10292,11167,11168,11990,12802,12803,13419	31
65	AGADIR	FELIXSTOWE	85	136	202,203,204	3	680,681,1301,2077,2078,2695,3367,3368,3993,3994,4804,4805,5497,5498,6227,7213,7214,7827,7828,8480,9007,9676,9677,10291,10294,11169,11170,11991,12804,12805,13420	31
66	AGADIR	FELIXSTOWE	92	143	204,205,206	3	682,683,1302,2079,2080,2696,3369,3370,3995,3996,4806,4807,5499,5500,6228,7215,7216,7829,7830,8481,9008,9678,9679,10293,10296,11171,11172,11992,12806,12807,13421	31
67	AGADIR	FELIXSTOWE	99	150	206,207,208	3	684,685,1303,2081,2082,2697,3371,3372,3997,3998,4808,4809,5501,5502,6229,7217,7218,7831,7832,8482,9009,9680,9681,10295,10298,11173,11174,11993,12808,12809,13422	31
68	AGADIR	FELIXSTOWE	106	157	208,209,210	3	686,687,1304,2083,2084,2698,3373,3374,3999,4000,4810,4811,5503,5504,6230,7219,7220,7833,7834,8483,9010,9682,9683,10297,10300,11175,11176,11994,12810,12811,13423	31
69	AGADIR	FELIXSTOWE	113	164	210,211,212	3	688,689,1305,2085,2086,2699,3375,3376,4001,4002,4812,4813,5505,5506,6231,7221,7222,7835,7836,8484,9011,9684,9685,10299,10302,11177,11178,11995,12812,12813,13424	31
70	AGADIR	FELIXSTOWE	120	171	212,213,214	3	690,691,1306,2087,2088,2700,3377,3378,4003,4004,4814,4815,5507,5508,6232,7223,7224,7837,7838,8485,9012,9686,9687,10301,10304,11179,11180,11996,12814,12815,13425	31
71	AGADIR	FELIXSTOWE	127	178	214,215,216	3	692,693,1307,2089,2090,2701,3379,3380,4005,4006,4816,4817,5509,5510,6233,7225,7226,7839,7840,8486,9013,9688,9689,10303,10306,11181,11182,11997,12816,12817,13426	31
72	AGADIR	FELIXSTOWE	134	180	216	1	694,695,1308,2091,2092,2702,3381,3382,4007,4008,4818,4819,5511,5512,6234,7227,7228,7841,7842,8487,9014,9690,9691,10305,10308,11183,11184,11998,12818,12819,13427	31
73	AGADIR	FELIXSTOWE	141	180	0	0	696,697,1309,2093,2094,2703,3383,3384,4009,4010,4820,4821,5513,5514,6235,7229,7230,7843,7844,8488,9015,9692,9693,10307,10310,11185,11186,11999,12820,12821,13428	31
74	AGADIR	FELIXSTOWE	148	180	0	0	698,699,1310,2095,2096,2704,3385,3386,4011,4012,4822,4823,5515,5516,6236,7231,7232,7845,7846,8489,9016,9694,9695,10309,10312,11187,11188,12000,12822,12823,13429	31
75	AGADIR	FELIXSTOWE	155	180	0	0	700,701,1311,2097,2098,2705,3387,3388,4013,4014,4824,4825,5517,5518,6237,7233,7234,7847,7848,8490,9017,9696,9697,10311,10313,11189,11190,12001,12824,12825,13430	31
76	AGADIR	FELIXSTOWE	162	180	0	0	0	0
77	AGADIR	FELIXSTOWE	169	180	0	0	0	0
78	AGADIR	FELIXSTOWE	176	180	0	0	0	0
79	AGADIR	GEBZE	1	38	217	1	0	0
80	AGADIR	GEBZE	8	45	217,218,219	3	0	0
81	AGADIR	GEBZE	15	52	219,220,221	3	2685,11981	2
82	AGADIR	GEBZE	22	59	221,222,223	3	2686,11982	2
83	AGADIR	GEBZE	29	66	223,224,225	3	2687,11983	2
84	AGADIR	GEBZE	36	73	225,226,227	3	2688,11984	2
85	AGADIR	GEBZE	43	80	227,228,229	3	1294,1295,2689,3978,3979,3980,3981,6218,6219,6220,8474,9000,10278,10279,10281,11157,11158,11985,13414	19
86	AGADIR	GEBZE	50	87	229,230,231	3	1296,2690,3982,3983,3984,4795,5488,6221,6222,7818,8475,9001,9002,10280,10282,10284,11159,11160,11986,12795,13415	21
87	AGADIR	GEBZE	57	94	231,232,233	3	673,1297,2070,2691,3360,3985,3986,4796,4797,5489,5490,6223,7206,7819,7820,8476,9003,9669,10283,10286,11161,11162,11987,12796,12797,13416	26
88	AGADIR	GEBZE	64	101	233,234,235	3	674,675,1298,2071,2072,2692,3361,3362,3987,3988,4798,4799,5491,5492,6224,7207,7208,7821,7822,8477,9004,9670,9671,10285,10288,11163,11164,11988,12798,12799,13417	31
89	AGADIR	GEBZE	71	108	235,236,237	3	676,677,1299,2073,2074,2693,3363,3364,3989,3990,4800,4801,5493,5494,6225,7209,7210,7823,7824,8478,9005,9672,9673,10287,10290,11165,11166,11989,12800,12801,13418	31
90	AGADIR	GEBZE	78	115	237,238,239	3	678,679,1300,2075,2076,2694,3365,3366,3991,3992,4802,4803,5495,5496,6226,7211,7212,7825,7826,8479,9006,9674,9675,10289,10292,11167,11168,11990,12802,12803,13419	31
91	AGADIR	GEBZE	85	122	239,240,241	3	680,681,1301,2077,2078,2695,3367,3368,3993,3994,4804,4805,5497,5498,6227,7213,7214,7827,7828,8480,9007,9676,9677,10291,10294,11169,11170,11991,12804,12805,13420	31
92	AGADIR	GEBZE	92	129	241,242,243	3	682,683,1302,2079,2080,2696,3369,3370,3995,3996,4806,4807,5499,5500,6228,7215,7216,7829,7830,8481,9008,9678,9679,10293,10296,11171,11172,11992,12806,12807,13421	31
93	AGADIR	GEBZE	99	136	243,244,245	3	684,685,1303,2081,2082,2697,3371,3372,3997,3998,4808,4809,5501,5502,6229,7217,7218,7831,7832,8482,9009,9680,9681,10295,10298,11173,11174,11993,12808,12809,13422	31
94	AGADIR	GEBZE	106	143	245,246,247	3	686,687,1304,2083,2084,2698,3373,3374,3999,4000,4810,4811,5503,5504,6230,7219,7220,7833,7834,8483,9010,9682,9683,10297,10300,11175,11176,11994,12810,12811,13423	31
95	AGADIR	GEBZE	113	150	247,248,249	3	688,689,1305,2085,2086,2699,3375,3376,4001,4002,4812,4813,5505,5506,6231,7221,7222,7835,7836,8484,9011,9684,9685,10299,10302,11177,11178,11995,12812,12813,13424	31
96	AGADIR	GEBZE	120	157	249,250,251	3	690,691,1306,2087,2088,2700,3377,3378,4003,4004,4814,4815,5507,5508,6232,7223,7224,7837,7838,8485,9012,9686,9687,10301,10304,11179,11180,11996,12814,12815,13425	31
97	AGADIR	GEBZE	127	164	251,252,253	3	692,693,1307,2089,2090,2701,3379,3380,4005,4006,4816,4817,5509,5510,6233,7225,7226,7839,7840,8486,9013,9688,9689,10303,10306,11181,11182,11997,12816,12817,13426	31
98	AGADIR	GEBZE	134	171	253	1	694,695,1308,2091,2092,2702,3381,3382,4007,4008,4818,4819,5511,5512,6234,7227,7228,7841,7842,8487,9014,9690,9691,10305,10308,11183,11184,11998,12818,12819,13427	31
99	AGADIR	GEBZE	141	178	0	0	696,697,1309,2093,2094,2703,3383,3384,4009,4010,4820,4821,5513,5514,6235,7229,7230,7843,7844,8488,9015,9692,9693,10307,10310,11185,11186,11999,12820,12821,13428	31
100	AGADIR	GEBZE	148	180	0	0	698,699,1310,2095,2096,2704,3385,3386,4011,4012,4822,4823,5515,5516,6236,7231,7232,7845,7846,8489,9016,9694,9695,10309,10312,11187,11188,12000,12822,12823,13429	31
101	AGADIR	GEBZE	155	180	0	0	700,701,1311,2097,2098,2705,3387,3388,4013,4014,4824,4825,5517,5518,6237,7233,7234,7847,7848,8490,9017,9696,9697,10311,10313,11189,11190,12001,12824,12825,13430	31
102	AGADIR	GEBZE	162	180	0	0	0	0
103	AGADIR	GEBZE	169	180	0	0	0	0
104	AGADIR	GEBZE	176	180	0	0	0	0
105	AGADIR	GEMLIK	1	39	254	1	0	0
106	AGADIR	GEMLIK	8	46	254,255,256	3	0	0
107	AGADIR	GEMLIK	15	53	256,257,258	3	2685,11981	2
108	AGADIR	GEMLIK	22	60	258,259,260	3	2686,11982	2
109	AGADIR	GEMLIK	29	67	260,261,262	3	2687,11983	2
110	AGADIR	GEMLIK	36	74	262,263,264	3	2688,11984	2
111	AGADIR	GEMLIK	43	81	264,265,266	3	1294,1295,2689,3978,3979,3980,3981,6218,6219,6220,8474,9000,10278,10279,10281,11157,11158,11985,13414	19
112	AGADIR	GEMLIK	50	88	266,267,268	3	1296,2690,3982,3983,3984,4795,5488,6221,6222,7818,8475,9001,9002,10280,10282,10284,11159,11160,11986,12795,13415	21
113	AGADIR	GEMLIK	57	95	268,269,270	3	673,1297,2070,2691,3360,3985,3986,4796,4797,5489,5490,6223,7206,7819,7820,8476,9003,9669,10283,10286,11161,11162,11987,12796,12797,13416	26
114	AGADIR	GEMLIK	64	102	270,271,272	3	674,675,1298,2071,2072,2692,3361,3362,3987,3988,4798,4799,5491,5492,6224,7207,7208,7821,7822,8477,9004,9670,9671,10285,10288,11163,11164,11988,12798,12799,13417	31
115	AGADIR	GEMLIK	71	109	272,273,274	3	676,677,1299,2073,2074,2693,3363,3364,3989,3990,4800,4801,5493,5494,6225,7209,7210,7823,7824,8478,9005,9672,9673,10287,10290,11165,11166,11989,12800,12801,13418	31
116	AGADIR	GEMLIK	78	116	274,275,276	3	678,679,1300,2075,2076,2694,3365,3366,3991,3992,4802,4803,5495,5496,6226,7211,7212,7825,7826,8479,9006,9674,9675,10289,10292,11167,11168,11990,12802,12803,13419	31
117	AGADIR	GEMLIK	85	123	276,277,278	3	680,681,1301,2077,2078,2695,3367,3368,3993,3994,4804,4805,5497,5498,6227,7213,7214,7827,7828,8480,9007,9676,9677,10291,10294,11169,11170,11991,12804,12805,13420	31
118	AGADIR	GEMLIK	92	130	278,279,280	3	682,683,1302,2079,2080,2696,3369,3370,3995,3996,4806,4807,5499,5500,6228,7215,7216,7829,7830,8481,9008,9678,9679,10293,10296,11171,11172,11992,12806,12807,13421	31
119	AGADIR	GEMLIK	99	137	280,281,282	3	684,685,1303,2081,2082,2697,3371,3372,3997,3998,4808,4809,5501,5502,6229,7217,7218,7831,7832,8482,9009,9680,9681,10295,10298,11173,11174,11993,12808,12809,13422	31
120	AGADIR	GEMLIK	106	144	282,283,284	3	686,687,1304,2083,2084,2698,3373,3374,3999,4000,4810,4811,5503,5504,6230,7219,7220,7833,7834,8483,9010,9682,9683,10297,10300,11175,11176,11994,12810,12811,13423	31
121	AGADIR	GEMLIK	113	151	284,285,286	3	688,689,1305,2085,2086,2699,3375,3376,4001,4002,4812,4813,5505,5506,6231,7221,7222,7835,7836,8484,9011,9684,9685,10299,10302,11177,11178,11995,12812,12813,13424	31
122	AGADIR	GEMLIK	120	158	286,287,288	3	690,691,1306,2087,2088,2700,3377,3378,4003,4004,4814,4815,5507,5508,6232,7223,7224,7837,7838,8485,9012,9686,9687,10301,10304,11179,11180,11996,12814,12815,13425	31
123	AGADIR	GEMLIK	127	165	288,289,290	3	692,693,1307,2089,2090,2701,3379,3380,4005,4006,4816,4817,5509,5510,6233,7225,7226,7839,7840,8486,9013,9688,9689,10303,10306,11181,11182,11997,12816,12817,13426	31
124	AGADIR	GEMLIK	134	172	290	1	694,695,1308,2091,2092,2702,3381,3382,4007,4008,4818,4819,5511,5512,6234,7227,7228,7841,7842,8487,9014,9690,9691,10305,10308,11183,11184,11998,12818,12819,13427	31
125	AGADIR	GEMLIK	141	179	0	0	696,697,1309,2093,2094,2703,3383,3384,4009,4010,4820,4821,5513,5514,6235,7229,7230,7843,7844,8488,9015,9692,9693,10307,10310,11185,11186,11999,12820,12821,13428	31
126	AGADIR	GEMLIK	148	180	0	0	698,699,1310,2095,2096,2704,3385,3386,4011,4012,4822,4823,5515,5516,6236,7231,7232,7845,7846,8489,9016,9694,9695,10309,10312,11187,11188,12000,12822,12823,13429	31
127	AGADIR	GEMLIK	155	180	0	0	700,701,1311,2097,2098,2705,3387,3388,4013,4014,4824,4825,5517,5518,6237,7233,7234,7847,7848,8490,9017,9696,9697,10311,10313,11189,11190,12001,12824,12825,13430	31
128	AGADIR	GEMLIK	162	180	0	0	0	0
129	AGADIR	GEMLIK	169	180	0	0	0	0
130	AGADIR	GEMLIK	176	180	0	0	0	0
131	AGADIR	HAMBURG	1	23	291	1	0	0
132	AGADIR	HAMBURG	8	30	291,292	2	0	0
133	AGADIR	HAMBURG	15	37	292,293	2	2685,11981	2
134	AGADIR	HAMBURG	22	44	293,294	2	2686,11982	2
135	AGADIR	HAMBURG	29	51	294,295	2	2687,11983	2
136	AGADIR	HAMBURG	36	58	295,296	2	2688,11984	2
137	AGADIR	HAMBURG	43	65	296,297	2	1294,1295,2689,3978,3979,3980,3981,6218,6219,6220,8474,9000,10278,10279,10281,11157,11158,11985,13414	19
138	AGADIR	HAMBURG	50	72	297,298	2	1296,2690,3982,3983,3984,4795,5488,6221,6222,7818,8475,9001,9002,10280,10282,10284,11159,11160,11986,12795,13415	21
139	AGADIR	HAMBURG	57	79	298,299	2	673,1297,2070,2691,3360,3985,3986,4796,4797,5489,5490,6223,7206,7819,7820,8476,9003,9669,10283,10286,11161,11162,11987,12796,12797,13416	26
140	AGADIR	HAMBURG	64	86	299,300	2	674,675,1298,2071,2072,2692,3361,3362,3987,3988,4798,4799,5491,5492,6224,7207,7208,7821,7822,8477,9004,9670,9671,10285,10288,11163,11164,11988,12798,12799,13417	31
141	AGADIR	HAMBURG	71	93	300,301	2	676,677,1299,2073,2074,2693,3363,3364,3989,3990,4800,4801,5493,5494,6225,7209,7210,7823,7824,8478,9005,9672,9673,10287,10290,11165,11166,11989,12800,12801,13418	31
142	AGADIR	HAMBURG	78	100	301,302	2	678,679,1300,2075,2076,2694,3365,3366,3991,3992,4802,4803,5495,5496,6226,7211,7212,7825,7826,8479,9006,9674,9675,10289,10292,11167,11168,11990,12802,12803,13419	31
143	AGADIR	HAMBURG	85	107	302,303	2	680,681,1301,2077,2078,2695,3367,3368,3993,3994,4804,4805,5497,5498,6227,7213,7214,7827,7828,8480,9007,9676,9677,10291,10294,11169,11170,11991,12804,12805,13420	31
144	AGADIR	HAMBURG	92	114	303,304	2	682,683,1302,2079,2080,2696,3369,3370,3995,3996,4806,4807,5499,5500,6228,7215,7216,7829,7830,8481,9008,9678,9679,10293,10296,11171,11172,11992,12806,12807,13421	31
145	AGADIR	HAMBURG	99	121	304,305	2	684,685,1303,2081,2082,2697,3371,3372,3997,3998,4808,4809,5501,5502,6229,7217,7218,7831,7832,8482,9009,9680,9681,10295,10298,11173,11174,11993,12808,12809,13422	31
146	AGADIR	HAMBURG	106	128	305,306	2	686,687,1304,2083,2084,2698,3373,3374,3999,4000,4810,4811,5503,5504,6230,7219,7220,7833,7834,8483,9010,9682,9683,10297,10300,11175,11176,11994,12810,12811,13423	31
147	AGADIR	HAMBURG	113	135	306,307	2	688,689,1305,2085,2086,2699,3375,3376,4001,4002,4812,4813,5505,5506,6231,7221,7222,7835,7836,8484,9011,9684,9685,10299,10302,11177,11178,11995,12812,12813,13424	31
148	AGADIR	HAMBURG	120	142	307,308	2	690,691,1306,2087,2088,2700,3377,3378,4003,4004,4814,4815,5507,5508,6232,7223,7224,7837,7838,8485,9012,9686,9687,10301,10304,11179,11180,11996,12814,12815,13425	31
149	AGADIR	HAMBURG	127	149	308,309	2	692,693,1307,2089,2090,2701,3379,3380,4005,4006,4816,4817,5509,5510,6233,7225,7226,7839,7840,8486,9013,9688,9689,10303,10306,11181,11182,11997,12816,12817,13426	31
150	AGADIR	HAMBURG	134	156	309,310	2	694,695,1308,2091,2092,2702,3381,3382,4007,4008,4818,4819,5511,5512,6234,7227,7228,7841,7842,8487,9014,9690,9691,10305,10308,11183,11184,11998,12818,12819,13427	31
151	AGADIR	HAMBURG	141	163	310,311	2	696,697,1309,2093,2094,2703,3383,3384,4009,4010,4820,4821,5513,5514,6235,7229,7230,7843,7844,8488,9015,9692,9693,10307,10310,11185,11186,11999,12820,12821,13428	31
152	AGADIR	HAMBURG	148	170	311	1	698,699,1310,2095,2096,2704,3385,3386,4011,4012,4822,4823,5515,5516,6236,7231,7232,7845,7846,8489,9016,9694,9695,10309,10312,11187,11188,12000,12822,12823,13429	31
153	AGADIR	HAMBURG	155	177	0	0	700,701,1311,2097,2098,2705,3387,3388,4013,4014,4824,4825,5517,5518,6237,7233,7234,7847,7848,8490,9017,9696,9697,10311,10313,11189,11190,12001,12824,12825,13430	31
154	AGADIR	HAMBURG	162	180	0	0	0	0
155	AGADIR	HAMBURG	169	180	0	0	0	0
156	AGADIR	HAMBURG	176	180	0	0	0	0
157	AGADIR	ISKENDERUN	1	53	312,313	2	0	0
158	AGADIR	ISKENDERUN	8	60	312,313,314,315,316	5	0	0
159	AGADIR	ISKENDERUN	15	67	316,317,318	3	2685,11981	2
160	AGADIR	ISKENDERUN	22	74	318,319,320	3	2686,11982	2
161	AGADIR	ISKENDERUN	29	81	320,321,322	3	2687,11983	2
162	AGADIR	ISKENDERUN	36	88	322,323,324	3	2688,11984	2
163	AGADIR	ISKENDERUN	43	95	324,325,326	3	1294,1295,2689,3978,3979,3980,3981,6218,6219,6220,8474,9000,10278,10279,10281,11157,11158,11985,13414	19
