	VesselID	Vessel	Capacity	RouteID	OperationCost	MaxNum
6	7	NAVIOS CONSTELLATION	9954	1	11.543	1
7	8	ONE ALTAIR	9592	1	11.453	1
8	9	OOCL WASHINGTON	8063	1	11.07	1
9	10	APL CALIFORNIA	6282	2	9.625	1
10	11	APL FLORIDA	6282	2	9.625	1
11	12	SWANSEA	6622	2	9.71	1
12	13	BEA SCHULTE	4600	2	9.205	1
13	14	IKARIA	5908	2	9.532	1
14	15	LONG BEACH EXPRESS	5089	2	9.327	1
15	16	RDO FORTUNE	4975	2	9.298	1
16	17	RDO CONCORD	6966	2	9.796	1
0	1	CMA CGM FOX	1	1	7.002	1
1	2	CMA CGM CARACAL	1	1	7.002	1
2	3	CMA CGM SERVAL	1	1	7.002	1
3	4	CMA CGM HAWK	1	1	7.002	1
4	5	SPIL NISAKA	2474	1	7.62	1
5	6	SPIL NINGSIH	2532	1	7.634	1
6	7	ESL DAR ES SALAAM	2546	1	7.638	1
7	8	BALTIC NORTH	4228	2	8.058	1
8	9	CMA CGM MANTA RAY	5090	2	8.274	1
9	10	EVER DIADEM	4211	2	8.054	1
10	11	EVER DAINTY	4211	2	8.054	1
11	12	EMC TBN 	1	2	7.002	1
12	13	GREEN OCEAN	1809	2	7.454	1
13	14	LADY JANE	5047	2	8.263	1
14	15	APL JEDDAH	2478	3	7.621	1
15	16	CMA CGM AFRICA THREE	3718	3	7.931	1
16	17	CMA CGM AFRICA FOUR	3718	3	7.931	1
17	18	CMA CGM AFRICA TWO	3718	3	7.931	1
18	19	HANSA AUSTRALIA	3649	3	7.914	1
19	20	MENDELSSOHN	3651	3	7.914	1
20	21	MAERSK NACALA	3649	3	7.914	1
21	22	CMA CGM DON PASCUALE	8533	4	11.135	1
22	23	CMA CGM LA SCALA	8469	4	11.119	1
23	24	CEZANNE	9662	4	11.417	1
24	25	CCNI ARAUCO	9030	4	11.259	1
25	26	SANTA INES	8540	4	11.136	1
26	27	SANTA BARBARA	8674	4	11.17	1
27	28	SAN FERNANDO	8700	4	11.176	1
28	29	SAN CHRISTOBAL	9034	4	11.26	1
29	30	SANTA URSULA	8540	4	11.136	1
30	31	APL CHARLESTON	9326	5	14.333	1
31	32	APL COLUMBUS	9326	5	14.333	1
32	33	APL SANTIAGO	9326	5	14.333	1
33	34	NORTHERN JUVENILE	8811	5	14.204	1
34	35	APL HOUSTON	9326	5	14.333	1
35	36	CSCL AFRICA	8094	5	14.025	1
36	37	COSCO KOREA	8501	5	14.127	1
37	38	HANOVER EXPRESS	8749	5	14.189	1
38	39	LUANDA EXPRESS	8845	5	14.213	1
39	40	MAERSK AMAZON	8242	5	14.062	1
40	41	MAERSK SHEERNESS	8450	5	14.114	1
41	42	MAERSK SOFIA	8466	5	14.118	1
42	43	CARL SCHULTE	5466	6	14.368	1
43	44	KMARIN ATLANTICA	4532	6	14.134	1
44	45	MAERSK ARAS	4600	6	14.151	1
45	46	MAERSK KARUN	4669	6	14.169	1
46	47	MAERSK CAPE TOWN	4500	6	14.126	1
47	48	MAERSK CADIZ	4500	6	14.126	1
48	49	MAERSK CABINDA	4496	6	14.125	1
49	50	MAERSK CHILKA	4530	6	14.134	1
50	51	MAERSK CUANZA	4530	6	14.134	1
51	52	MAERSK CUBANGO	4530	6	14.134	1
52	53	MAERSK IYO	4669	6	14.169	1
53	54	MAERSK ZAMBEZI	5315	6	14.33	1
54	55	MSK TBN 	371	6	13.094	1
55	56	KMARIN AZUR	4532	7	13.134	1
56	57	KYPARISSIA	4957	7	13.241	1
57	58	MEGALOPOLIS	4771	7	13.194	1
58	59	MAERSK CAMEROUN	4530	7	13.134	1
59	60	MAERSK CASABLANCA	4530	7	13.134	1
60	61	MAERSK CHAMBAL	4496	7	13.125	1
61	62	MAERSK CHACHAI	4496	7	13.125	1
62	63	MAERSK COTONOU	4530	7	13.134	1
63	64	MAERSK EUPHRATES	5466	7	13.368	1
64	65	MAERSK GANGES	5466	7	13.368	1
65	66	MAERSK TBN 	201	7	12.052	1
66	67	MAERSK TBN 	211	7	12.054	1
67	68	ANL WYONG	4250	8	14.064	1
68	69	APL HOLLAND	5780	8	14.446	1
69	70	ANL WANGARATTA	4250	8	14.064	1
70	71	CMA CGM MONTOIR	4294	8	14.075	1
71	72	CMA CGM VERDI	6039	8	14.511	1
72	73	CMA CGM KUNENE	1	8	13.002	1
73	74	CMA CGM MOA	1	8	13.002	1
74	75	CMA CGM KARA	1	8	13.002	1
75	76	ENSENADA	5828	8	14.458	1
76	77	HEDWIG SCHULTE	5605	8	14.403	1
77	78	CMA CGM MOZART	5782	8	14.447	1
78	79	CMA CGM ROSSINI	5782	8	14.447	1
79	80	WIELAND	4957	8	14.241	1
0	1	APL PARIS	10642	1	15.703	1
1	2	APL QINGDAO	10106	1	15.569	1
2	3	CMA CGM CENTAURUS	11388	1	15.889	1
3	4	CMA CGM TANCREDI	8721	1	15.222	1
4	5	CMA CGM BASTELICA	1	1	13.042	1
5	6	CMA CGM DETROIT	1	1	13.042	1
6	7	CMA CGM NEW YORK	1	1	13.042	1
7	8	CMA CGM TORONTO	1	1	13.042	1
8	9	CMA CGM CALGARY	1	1	13.042	1
9	10	CMA CGM HAMILTON	1	1	13.042	1
10	11	CMA CGM QUEBEC	1	1	13.042	1
11	12	CMA CGM KUNENE	1	1	13.042	1
12	13	CMA CGM KWANGO	1	1	13.042	1
13	14	COSCO PHILIPPINES	8501	2	12.167	1
14	15	COSCO PIRAEUS	4256	2	11.106	1
15	16	COS TBN 	601	2	10.192	1
16	17	COS TBN 	881	2	10.262	1
17	18	XIN FEI ZHOU	8533	2	12.175	1
18	19	XIN DA YANG ZHOU	8533	2	12.175	1
19	20	XIN MEI ZHOU	8533	2	12.175	1
20	21	OOCL LONDON	8063	2	12.058	1
21	22	OOCL SOUTHAMPTON	8063	2	12.058	1
22	23	OOCL UTAH	8825	2	12.248	1
23	24	CMA CGM APOLLON	15536	3	14.926	1
24	25	CMA CGM KIMBERLEY	15254	3	14.856	1
25	26	CMA CGM OSIRIS	15536	3	14.926	1
26	27	CMA CGM PATAGONIA	15254	3	14.856	1
27	28	CMA CGM TENERE	14812	3	14.745	1
28	29	COSCO SHIPPING ORCHID	13800	3	14.492	1
29	30	COSCO DEVELOPMENT	13114	3	14.321	1
30	31	COSCO PRIDE	13144	3	14.328	1
31	32	COSCO SHIPPING JASMINE	13800	3	14.492	1
32	33	COSCO SHIPPING LOTUS	13800	3	14.492	1
33	34	COSCO SHIPPING SAKURA	13800	3	14.492	1
34	35	APL DANUBE	9365	4	14.383	1
35	36	CMA CGM ALMAVIVA	8469	4	14.159	1
36	37	CMA CGM ATTILA	8721	4	14.222	1
37	38	CMA CGM ELBE	9365	4	14.383	1
38	39	CMA CGM LOIRE	9365	4	14.383	1
39	40	CMA CGM SAMSON	8721	4	14.222	1
40	41	CMA CGM TAGE	9365	4	14.383	1
41	42	CMA CGM AUBAGNE	1	4	12.042	1
42	43	CMA CGM ROQUEVAIRE	1	4	12.042	1
43	44	CMA CGM PEYPIN	1	4	12.042	1
44	45	CMA CGM NABUCCO	8488	4	14.164	1
45	46	CMA CGM GEORGE SAND	6350	4	13.63	1
46	47	EMC TBN 	1	5	10.042	1
47	48	EMC TBN 	1	5	10.042	1
48	49	EVER FAME	11888	5	13.014	1
49	50	TALOS	14424	5	13.648	1
50	51	TAURUS	14424	5	13.648	1
51	52	TEXAS TRIUMPH	13808	5	13.494	1
52	53	TITAN	14424	5	13.648	1
53	54	TOKYO TRIUMPH	13808	5	13.494	1
54	55	TOLEDO TRIUMPH	13808	5	13.494	1
55	56	TRITON	13808	5	13.494	1
56	57	APL OREGON	6350	6	8.63	1
57	58	CMA CGM NEW JERSEY	5095	6	8.316	1
58	59	CMA CGM GEORGIA	5095	6	8.316	1
59	60	CMA CGM SWORDFISH	5095	6	8.316	1
60	61	CMA CGM VIRGINIA	5095	6	8.316	1
61	62	CMA CGM SONGHUA	1	6	7.042	1
62	63	CMA CGM WILLOW	1	6	7.042	1
63	64	NYK OCEANUS	8628	7	8.199	1
64	65	NYK ORION	8628	7	8.199	1
65	66	ONE OLYMPUS	8628	7	8.199	1
66	67	ONE TBN 	21	7	6.047	1
67	68	ONE TBN 	31	7	6.05	1
68	69	ONE TBN 	41	7	6.052	1
69	70	ONE TBN 	51	7	6.055	1
70	71	ONE TBN 	61	7	6.057	1
71	72	ONE TBN 	71	7	6.06	1
72	73	ONE TBN 	81	7	6.062	1
73	74	ONE TBN 	101	7	6.067	1
74	75	ONE TBN 	121	7	6.072	1
75	76	ONE TBN 	131	7	6.075	1
76	77	ONE TBN 	141	7	6.077	1
77	78	ONE HANNOVER	8212	7	8.095	1
78	79	EMC TBN 	1	8	6.042	1
79	80	EMC TBN 	1	8	6.042	1
80	81	EVER FEAT	11888	8	9.014	1
81	82	EVER FOREVER	12118	8	9.072	1
82	83	EVER FINE	11888	8	9.014	1
83	84	EVER FUTURE	12118	8	9.072	1
84	85	EMC TBN 	1	9	6.042	1
85	86	EMC TBN 	1	9	6.042	1
86	87	EVER LUCENT	8508	9	8.169	1
87	88	EVER LEGION	8452	9	8.155	1
88	89	EVER LISSOME	8508	9	8.169	1
89	90	EVER LOGIC	8452	9	8.155	1
90	91	COSCO BELGIUM	13386	10	9.389	1
91	92	COSCO DENMARK	13386	10	9.389	1
92	93	COSCO PORTUGAL	13386	10	9.389	1
93	94	OOCL EGYPT	13208	10	9.344	1
94	95	OOCL POLAND	13208	10	9.344	1
95	96	COS TBN 	181	10	6.087	1
96	97	EVER EAGLE	6332	11	9.625	1
97	98	EVER EXCEL	6332	11	9.625	1
98	99	EVER SAFETY	7024	11	9.798	1
99	100	EVER STEADY	7024	11	9.798	1
100	101	EVER SHINE	7024	11	9.798	1
101	102	EVER SIGMA	6000	11	9.542	1
102	103	EVER STRONG	7024	11	9.798	1
103	104	EVER SUMMIT	7024	11	9.798	1
104	105	COSCO SHIPPING ANDES	14566	12	10.684	1
105	106	COSCO SHIPPING ALPS	14568	12	10.684	1
106	107	COSCO ENGLAND	13386	12	10.389	1
107	108	COS TBN 	401	12	7.142	1
108	109	COSCO SPAIN	13386	12	10.389	1
109	110	COSCO NETHERLANDS	13386	12	10.389	1
110	111	COSCO ITALY	13386	12	10.389	1
111	112	BEIJING	9200	13	8.342	1
112	113	COS TBN 	111	13	6.07	1
113	114	CSCL BOHAI SEA	10036	13	8.551	1
114	115	COSCO MALAYSIA	8501	13	8.167	1
115	116	CSCL SOUTH CHINA SEA	10036	13	8.551	1
116	117	OOCL TOKYO	8063	13	8.058	1
117	118	CSCL EAST CHINA SEA	10036	14	9.551	1
118	119	COS TBN 	341	14	7.127	1
119	120	COS TBN 	381	14	7.137	1
120	121	COS TBN 	461	14	7.157	1
121	122	COS TBN 	471	14	7.16	1
122	123	CSCL SUMMER	10036	14	9.551	1
123	124	CSCL YELLOW SEA	10036	14	9.551	1
0	1	APL YANGSHAN	10642	1	14.714	1
1	2	CMA CGM AQUILA	11388	1	14.901	1
2	3	CMA CGM ARGENTINA	15072	1	15.822	1
3	4	CMA CGM HYDRA	11040	1	14.814	1
4	5	CMA CGM LIBRA	11388	1	14.901	1
5	6	CMA CGM MUSCA	11040	1	14.814	1
6	7	CMA CGM VELA	11262	1	14.869	1
7	8	CSCL LONG BEACH	9572	1	14.447	1
8	9	COSCO HELLAS	9469	1	14.421	1
9	10	CSCL ZEEBRUGGE	9572	1	14.447	1
10	11	SEASPAN HUDSON	10100	1	14.579	1
11	12	KUALA LUMPUREXPRESS	8749	1	14.241	1
12	13	APL ESPLANADE	13892	2	15.527	1
13	14	CMA CGM J. ADAMS	14402	2	15.654	1
14	15	CMA CGM CHENNAI	10100	2	14.579	1
15	16	CMA CGM MUMBAI	10100	2	14.579	1
16	17	CMA CGM MUNDRA	10100	2	14.579	1
17	18	CMA CGM NEVADA	12917	2	15.283	1
18	19	CMA CGM URAL	10622	2	14.709	1
19	20	CMA CGM ZEPHYR	15536	2	15.938	1
20	21	CMA CGM SARTENE	1	2	12.054	1
21	22	EDISON	13556	2	15.443	1
22	23	ERVING	13556	2	15.443	1
23	24	CMA CGM HOPEBAY	1	2	12.054	1
24	25	EMC TBN 	1	3	11.054	1
25	26	EVER LAMBENT	8452	3	13.167	1
26	27	EVER LAWFUL	8452	3	13.167	1
27	28	EVER LADEN	8452	3	13.167	1
28	29	EVER LEGACY	8452	3	13.167	1
29	30	EVER LUNAR	8508	3	13.181	1
30	31	EVER LUCID	8508	3	13.181	1
31	32	EVER LYRIC	8508	3	13.181	1
32	33	OOCL SEOUL	8063	3	13.069	1
33	34	XIN QING DAO	5668	3	12.471	1
34	35	YM UTILITY	8236	3	13.113	1
0	1	CMA CGM CHAMPS ELYSEES	23112	1	18.795	1
1	2	CMA CGM CONCORDE	23112	1	18.795	1
2	3	CMA CGM ANTOINE DE SAINTEXUPERY	20954	1	18.255	1
3	4	CMA CGM JEANMERMOZ	20954	1	18.255	1
4	5	CMA CGM JACQUES SAADE	23112	1	18.795	1
5	6	CMA CGM LOUIS BLERIOT	20954	1	18.255	1
6	7	CMA CGM LOUVRE	23112	1	18.795	1
7	8	CMA CGM MONTMARTRE	23112	1	18.795	1
8	9	CMA CGM PALAIS ROYAL	23112	1	18.795	1
9	10	CMA CGM RIVOLI	23112	1	18.795	1
10	11	CMA CGM SORBONNE	23112	1	18.795	1
11	12	CMA CGM TROCADERO	23112	1	18.795	1
12	13	CMA CGM ZHENG HE	17859	1	17.482	1
13	14	COSCO SHIPPING ARIES	19273	2	15.835	1
14	15	COSCO SHIPPING GEMINI	20119	2	16.047	1
15	16	COSCO SHIPPING SOLAR	21237	2	16.326	1
16	17	COSCO SHIPPING LIBRA	20119	2	16.047	1
17	18	COS TBN 	301	2	11.092	1
18	19	COS TBN 	751	2	11.205	1
19	20	COSCO SHIPPING CAPRICORN	19273	2	15.835	1
20	21	COSCO SHIPPING SCORPIO	19273	2	15.835	1
21	22	COSCO SHIPPING TAURUS	20119	2	16.047	1
22	23	COSCO SHIPPING LEO	19273	2	15.835	1
23	24	COSCO SHIPPING VIRGO	20119	2	16.047	1
24	25	APL CHANGI	17292	3	17.34	1
25	26	APL LION CITY	17292	3	17.34	1
26	27	APL FULLERTON	17292	3	17.34	1
27	28	APL VANDA	17292	3	17.34	1
28	29	APL MERLION	17292	3	17.34	1
29	30	APL RAFFLES	17292	3	17.34	1
30	31	APL SINGAPURA	17292	3	17.34	1
31	32	APL TEMASEK	17292	3	17.34	1
32	33	CMA CGM BENJAMIN FRANKLIN	17859	3	17.482	1
33	34	CMA CGM BOUGAINVILLE	17722	3	17.447	1
34	35	CMA CGM GEORG FORSTER	17722	3	17.447	1
35	36	CMA CGM KERGUELEN	17722	3	17.447	1
36	37	CMA CGM VASCO DE GAMA	17859	3	17.482	1
37	38	COSCO SHIPPING GALAXY	21237	4	16.326	1
38	39	COSCO SHIPPING STAR	21237	4	16.326	1
39	40	COSCO SHIPPING PISCES	19273	4	15.835	1
40	41	CSCL ARCTIC OCEAN	18982	4	15.762	1
41	42	CSCL ATLANTIC OCEAN	18982	4	15.762	1
42	43	OOCL GERMANY	21413	4	16.37	1
43	44	OOCL HONG KONG	21000	4	16.267	1
44	45	OOCL JAPAN	21413	4	16.37	1
45	46	OOCL UNITED KINGDOM	21413	4	16.37	1
46	47	OOCL INDONESIA	21413	4	16.37	1
47	48	OOCL SCANDINAVIA	21413	4	16.37	1
48	49	EMC TBN 	1	5	12.017	1
49	50	EVER ACT	23992	5	18.015	1
50	51	EVER APEX	24000	5	18.017	1
51	52	EVER AIM	23992	5	18.015	1
52	53	EVER ALOT	24000	5	18.017	1
53	54	EVER ALP	23992	5	18.015	1
54	55	EVER ACME	24000	5	18.017	1
55	56	EVER ARIA	24000	5	18.017	1
56	57	EVER ARM	23992	5	18.015	1
57	58	EVER ART	23992	5	18.015	1
58	59	EVER ATOP	24000	5	18.017	1
59	60	EVER ACE	23992	5	18.015	1
60	61	CSCL STAR	13200	6	15.317	1
61	62	CSCL PACIFICOCEAN	18982	6	16.762	1
62	63	COSCO SHIPPING DENALI	14566	6	15.658	1
63	64	COSCO SHIPPING NEBULA	21237	6	17.326	1
64	65	COS TBN 	621	6	12.172	1
65	66	COS TBN 	651	6	12.18	1
66	67	COS TBN 	911	6	12.245	1
67	68	COS TBN 	941	6	12.252	1
68	69	COS TBN 	951	6	12.255	1
69	70	COS TBN 	971	6	12.26	1
70	71	CSCL SATURN	14074	6	15.535	1
71	72	CSCL MARS	14074	6	15.535	1
72	73	EVER GLOBE	20160	7	18.057	1
73	74	EVER GENIUS	20388	7	18.114	1
74	75	EVER GIFTED	20388	7	18.114	1
75	76	EVER GLORY	20388	7	18.114	1
76	77	EVER GOODS	20388	7	18.114	1
77	78	EVER GOVERN	20388	7	18.114	1
78	79	EVER GRADE	20388	7	18.114	1
79	80	EVER GREET	20160	7	18.057	1
80	81	EVER GENTLE	20388	7	18.114	1
81	82	EVER GIVEN	20388	7	18.114	1
82	83	THALASSA HELLAS	13806	7	16.468	1
83	84	THALASSA AVRA	13806	7	16.468	1
84	85	THALASSA MANA	1380	7	13.362	1
0	1	ANTHEA Y	9115	1	12.378	1
1	2	COS TBN 	211	1	10.152	1
2	3	COS TBN 	541	1	10.235	1
3	4	JOHANNA SCHULTE	9403	1	12.45	1
4	5	JUDITH SCHULTE	9403	1	12.45	1
5	6	CMA CGM JEANGABRIEL	10926	1	12.831	1
6	7	CMA CGM LISAMARIE	10926	1	12.831	1
7	8	CMA CGM MISSISSIPPI	9448	1	12.462	1
8	9	CMA CGM URAL	10622	1	12.755	1
9	10	CMA CGM VOLGA	10622	1	12.755	1
10	11	APL CHONGQING	10106	2	12.626	1
11	12	BELITA	8533	2	12.233	1
12	13	CMA CGM TANYA	10034	2	12.608	1
13	14	CMA CGM THAMES	9365	2	12.441	1
14	15	CMA CGM NORMA	9415	2	12.453	1
15	16	COS TBN 	21	2	10.105	1
16	17	COS TBN 	451	2	10.212	1
17	18	EVER LIBERAL	8452	2	12.213	1
18	19	EVER LEGEND	8452	2	12.213	1
19	20	OOCL GUANGZHOU	4578	2	11.244	1
20	21	CMA CGM GALAPAGOS	15254	3	16.913	1
21	22	CMA CGM ARCTIC	14812	3	16.803	1
22	23	CMA CGM BALI	14812	3	16.803	1
23	24	CMA CGM DIGNITY	14806	3	16.801	1
24	25	CMA CGM GREENLAND	15254	3	16.913	1
25	26	CMA CGM HOPE	14806	3	16.801	1
26	27	CMA CGM IGUACU	14812	3	16.803	1
27	28	CMA CGM PRIDE	14806	3	16.801	1
28	29	CMA CGM SCANDOLA	14812	3	16.803	1
29	30	CMA CGM JULES VERNE	16022	3	17.105	1
30	31	CMA CGM PIETROSELLA	1	3	13.1	1
31	32	CMA CGM CARGESE	1	3	13.1	1
32	33	OOCL MALAYSIA	13208	3	16.402	1
33	34	COS TBN 	141	4	11.135	1
34	35	COS TBN 	161	4	11.14	1
35	36	COS TBN 	371	4	11.192	1
36	37	COS TBN 	391	4	11.197	1
37	38	COS TBN 	741	4	11.285	1
38	39	CSCL JUPITER	14074	4	14.618	1
39	40	CSCL VENUS	14074	4	14.618	1
40	41	THALASSA DOXA	13800	4	14.55	1
41	42	THALASSA ELPIDA	13806	4	14.551	1
42	43	THALASSA AXIA	13806	4	14.551	1
43	44	THESEUS	14424	4	14.706	1
0	1	CMA CGM ALEXANDRIA	2478	1	1.685	1
1	2	CMA CGM MEDITERRANEA	1	2	4.066	1
2	3	CMA CGM CHITTAGONG	1700	2	4.491	1
3	4	CMA CGM INDIA	1700	2	4.491	1
4	5	OOCL TBN 	1700	2	4.491	1
5	6	APL GWANGYANG	10106	3	9.592	1
6	7	CMA CGM ALASKA	12917	3	10.295	1
7	8	CMA CGM CHENNAI	10100	3	9.591	1
8	9	CMA CGM TITAN	11388	3	9.913	1
9	10	CMA CGM PELLEAS	9953	3	9.554	1
10	11	TBN 	31	3	7.073	1
11	12	TBN 	41	3	7.076	1
12	13	CMA CGM BRAMPTON	1	4	7.066	1
13	14	CMA CGM SURREY	1	4	7.066	1
14	15	TBN	1	4	7.066	1
15	16	COS TBN	1	4	7.066	1
16	17	EMC TBN	1	4	7.066	1
17	18	OOCL TBN	1	4	7.066	1
18	19	OOCL TBN	1	4	7.066	1
19	20	COSCO SHIPPING AQUARIUS	19273	5	11.884	1
20	21	COSCO SHIPPING PLANET	21237	5	12.375	1
21	22	COS TBN 	251	5	7.128	1
22	23	COSCO SHIPPING CAPRICORN	19273	5	11.884	1
23	24	CSCL INDIAN OCEAN	18982	5	11.811	1
24	25	CSCL MERCURY	14074	5	10.584	1
25	26	CSCL NEPTUNE	14074	5	10.584	1
26	27	GFS PRIME	2732	6	2.749	1
27	28	SM MAHI	2764	6	2.757	1
28	29	CMA CGM BRAZIL	15072	7	12.834	1
29	30	CMA CGM ALCEA	1	7	9.066	1
30	31	COSCO SHIPPING KILIMANJARO	14568	7	12.708	1
31	32	COS TBN 	1	7	9.066	1
32	33	COS TBN 	1	7	9.066	1
33	34	EMC TBN 	11	7	9.068	1
34	35	EVER TOP	13806	7	12.517	1
35	36	THALASSA NIKI	13806	7	12.517	1
36	37	PIL TBN 	31	7	9.073	1
37	38	CMA CGM LEO	11388	8	10.913	1
38	39	CMA CGM THALASSA	11040	8	10.826	1
39	40	COS TBN 	221	8	8.121	1
40	41	COS TBN 	241	8	8.126	1
41	42	KOTA PURI	11923	8	11.046	1
42	43	KOTA CANTIK	6606	8	9.717	1
43	44	KOTA CAHAYA	6606	8	9.717	1
44	45	OOCL TAIPEI	8825	8	10.272	1
0	1	ANL GIPPSLAND	8102	1	8.106	1
1	2	OOCL MIAMI	8825	1	8.287	1
2	3	OOCL BEIJING	8888	1	8.303	1
3	4	OOCL CANADA	8888	1	8.303	1
4	5	OOCL BRAZIL	8458	1	8.195	1
5	6	OOCL DURBAN	8476	1	8.2	1
6	7	APL SCOTLAND	5780	2	7.526	1
7	8	CMA CGM BELLINI	5782	2	7.526	1
8	9	CMA CGM CHOPIN	5782	2	7.526	1
9	10	CMA CGM PUCCINI	5782	2	7.526	1
10	11	OOCL SHANGHAI	5770	2	7.523	1
11	12	TIAN XIANG HE	5816	2	7.535	1
12	13	COSCO HONG KONG	5446	3	6.442	1
13	14	COSCO SINGAPORE	5446	3	6.442	1
14	15	JOGELA	4957	3	6.32	1
15	16	OOCL KUALA LUMPUR	5888	3	6.553	1
16	17	RIO GRANDE	4253	3	6.144	1
17	18	ALS KRONOS	6039	4	7.59	1
18	19	GSL CHRISTELELISABETH	5782	4	7.526	1
19	20	CMA CGM CORNEILLE	6740	4	7.766	1
20	21	CMA CGM MAUPASSANT	6574	4	7.724	1
21	22	TONSBERG	6077	4	7.6	1
22	23	SANTA VANESSA	5962	4	7.571	1
23	24	CMA CGM SEATTLE	4253	5	8.144	1
24	25	LOUISE	3674	5	7.999	1
25	26	NORTHERN GUILD	4293	5	8.154	1
26	27	ROTTERDAM BRIDGE	4253	5	8.144	1
27	28	KOTA LAMBANG	4253	5	8.144	1
28	29	OOCL BUSAN	4578	5	8.225	1
29	30	XIN ZHANG ZHOU	4250	5	8.143	1
30	31	ANTWERP BRIDGE	5043	6	7.341	1
31	32	CMA CGM MARLIN	5090	6	7.353	1
32	33	TIANJIN BRIDGE	5043	6	7.341	1
33	34	KOTA LESTARI	4335	6	7.164	1
34	35	SHILING	5117	6	7.36	1
35	36	XIN XIA MEN	5668	6	7.498	1
36	37	CMA CGM SEMARANG	2702	7	3.756	1
37	38	KETA	2207	7	3.632	1
38	39	MIA SCHULTE	2345	7	3.667	1
0	1	BREMEN EXPRESS	8749	1	8.196	1
1	2	CHICAGO EXPRESS	8749	1	8.196	1
2	3	VIENNA EXPRESS	8749	1	8.196	1
3	4	CMA CGM DALILA	8469	1	8.126	1
4	5	CMA CGM LA TRAVIATA	8488	1	8.131	1
5	6	OOCL EUROPE	8063	1	8.025	1
6	7	BARCELONA EXPRESS	2956	2	7.748	1
7	8	DETROIT EXPRESS	3832	2	7.967	1
8	9	GENOA EXPRESS	3832	2	7.967	1
9	10	GLASGOW EXPRESS	4121	2	8.039	1
10	11	LISBON EXPRESS	2400	2	7.609	1
11	12	LIVORNO EXPRESS	3832	2	7.967	1
12	13	LIVERPOOL EXPRESS	4121	2	8.039	1
13	14	AS PAOLA	2478	3	6.629	1
14	15	CMA CGM MONTREAL	2553	3	6.647	1
15	16	CMA CGM NAVEGANTES	2824	3	6.715	1
16	17	CMA CGM PEMBA	2564	3	6.65	1
17	18	CMA CGM PARANAGUA	3091	3	6.782	1
18	19	MIMMI SCHULTE	2345	3	6.595	1
19	20	BERNHARD SCHULTE	4600	4	7.159	1
20	21	CSCL SYDNEY	4251	4	7.072	1
21	22	MYNY	6840	4	7.719	1
22	23	NUMBER	4250	4	7.072	1
23	24	RDO FAVOUR	4975	4	7.253	1
24	25	SEASPAN NEW YORK	4253	4	7.072	1
25	26	CMA CGM COLUMBA	11388	5	8.856	1
26	27	CMA CGM CASSIOPEIA	11388	5	8.856	1
27	28	COSCO FORTUNE	13114	5	9.288	1
28	29	COSCO FAITH	13114	5	9.288	1
29	30	COSCO HOPE	13114	5	9.288	1
30	31	TAMPA TRIUMPH	13808	5	9.461	1
