ShippingRouteID	NumberofPorts	Ports	NumberofCall	PortsofCall	Time
21	2	ROTTERDAM,DUBLIN	3	ROTTERDAM,DUBLIN,ROTTERDAM	3,7,10
22	2	ROTTERDAM,DUBLIN	3	ROTTERDAM,DUBLIN,ROTTERDAM	3,6,10
23	2	ROTTERDAM,DUBLIN	3	ROTTERDAM,DUBLIN,ROTTERDAM	3,6,10
24	3	DUNKERQUE,LIVERPOOL,BRISTOL	4	DUNKERQUE,LIVERPOOL,BRISTOL,DUNKERQUE	3,6,8,10
25	2	ROTTERDAM,DUBLIN	3	ROTTERDAM,DUBLIN,ROTTERDAM	3,7,10
26	2	ROTTERDAM,GRANGEMOUTH	3	ROTTERDAM,GRANGEMOUTH,ROTTERDAM	3,8,17
27	4	ROTTERDAM,FELIXSTOWE,TEESPORT,GRANGEMOUTH	5	ROTTERDAM,FELIXSTOWE,TEESPORT,GRANGEMOUTH,ROTTERDAM	3,6,7,8,17
28	5	ROTTERDAM,FELIXSTOWE,TEESPORT,GRANGEMOUTH,ANTWERP	6	ROTTERDAM,FELIXSTOWE,TEESPORT,GRANGEMOUTH,ANTWERP,ROTTERDAM	3,5,7,8,10,17
29	3	ROTTERDAM,TEESPORT,SOUTH SHIELDS	4	ROTTERDAM,TEESPORT,SOUTH SHIELDS,ROTTERDAM	3,7,8,10
30	3	ROTTERDAM,LONDON GATEWAY PORT, ESS,GRANGEMOUTH	4	ROTTERDAM,LONDON GATEWAY PORT, ESS,GRANGEMOUTH,ROTTERDAM	3,6,8,10
31	5	ROTTERDAM,FELIXSTOWE,HULL,IMMINGHAM,SOUTH SHIELDS	6	ROTTERDAM,FELIXSTOWE,HULL,IMMINGHAM,SOUTH SHIELDS,ROTTERDAM	3,5,8,8,9,17
32	3	SOUTHAMPTON,DUBLIN,GREENOCK	4	SOUTHAMPTON,DUBLIN,GREENOCK,SOUTHAMPTON	3,6,8,10
33	4	ALGECIRAS,ALICANTE,CARTAGENA, ES,ALMERIA	5	ALGECIRAS,ALICANTE,CARTAGENA, ES,ALMERIA,ALGECIRAS	3,6,7,9,17
34	9	BREMERHAVEN,HAMBURG,STAVANGER,HAUGESUND,BERGEN,FLORO,MALOY,ALESUND,IKORNNES	10	BREMERHAVEN,HAMBURG,STAVANGER,HAUGESUND,BERGEN,FLORO,MALOY,ALESUND,IKORNNES,BREMERHAVEN	3,5,7,8,8,9,9,10,10,17
35	6	ROTTERDAM,SVELGEN,ALESUND,MO I RANA,ALESUND,SVELGEN	7	ROTTERDAM,SVELGEN,ALESUND,MO I RANA,ALESUND,SVELGEN,ROTTERDAM	3,7,7,9,14,15,17
36	4	BREMERHAVEN,STAVANGER,HAUGESUND,BERGEN	5	BREMERHAVEN,STAVANGER,HAUGESUND,BERGEN,BREMERHAVEN	3,8,9,9,17
37	7	HAMBURG,HELSINKI,KOTKA,HAMBURG,STOCKHOLM,NORRKOPING,GDYNIA	8	HAMBURG,HELSINKI,KOTKA,HAMBURG,STOCKHOLM,NORRKOPING,GDYNIA,HAMBURG	3,8,9,13,19,20,21,24
38	7	BREMERHAVEN,HAMBURG,TALLINN,WILHELMSHAVEN,BREMERHAVEN,HAMBURG,RAUMA	8	BREMERHAVEN,HAMBURG,TALLINN,WILHELMSHAVEN,BREMERHAVEN,HAMBURG,RAUMA,BREMERHAVEN	3,5,9,14,14,16,20,24
39	5	BREMERHAVEN,WILHELMSHAVEN,HELSINGBORG,HALMSTAD,GOTHENBURG	6	BREMERHAVEN,WILHELMSHAVEN,HELSINGBORG,HALMSTAD,GOTHENBURG,BREMERHAVEN	3,4,6,7,8,10
40	6	ROTTERDAM,HELSINKI,KOTKA,ROTTERDAM,GDANSK,GDYNIA	7	ROTTERDAM,HELSINKI,KOTKA,ROTTERDAM,GDANSK,GDYNIA,ROTTERDAM	3,10,11,15,20,21,31
41	5	IMMINGHAM,VLISSINGEN,ROTTERDAM,HELSINKI,KLAIPEDA	6	IMMINGHAM,VLISSINGEN,ROTTERDAM,HELSINKI,KLAIPEDA,IMMINGHAM	3,5,6,11,14,17
42	2	ROTTERDAM,BELFAST	3	ROTTERDAM,BELFAST,ROTTERDAM	3,6,10
43	6	ROTTERDAM,DUNKERQUE,LIVERPOOL,DUBLIN,GREENOCK,BRISTOL	7	ROTTERDAM,DUNKERQUE,LIVERPOOL,DUBLIN,GREENOCK,BRISTOL,ROTTERDAM	3,6,9,11,12,15,17
44	6	BREMERHAVEN,HAMBURG,GDYNIA,GDANSK,NORRKOPING,GAEVLE	7	BREMERHAVEN,HAMBURG,GDYNIA,GDANSK,NORRKOPING,GAEVLE,BREMERHAVEN	3,5,10,11,13,14,24
45	10	BREMERHAVEN,LONDON GATEWAY PORT, ESS,FELIXSTOWE,KOTKA,WILHELMSHAVEN,BREMERHAVEN,GDANSK,KLAIPEDA,RIGA,GDANSK	11	BREMERHAVEN,LONDON GATEWAY PORT, ESS,FELIXSTOWE,KOTKA,WILHELMSHAVEN,BREMERHAVEN,GDANSK,KLAIPEDA,RIGA,GDANSK,BREMERHAVEN	3,6,7,14,21,22,27,28,31,35,45
46	5	ROTTERDAM,ANTWERP,KLAIPEDA,RIGA,TALLINN	6	ROTTERDAM,ANTWERP,KLAIPEDA,RIGA,TALLINN,ROTTERDAM	3,7,10,12,14,24
47	2	ROUEN,LE HAVRE	3	ROUEN,LE HAVRE,ROUEN	3,4,17
48	4	ROTTERDAM,MOSS,LARVIK,KRISTIANSAND	5	ROTTERDAM,MOSS,LARVIK,KRISTIANSAND,ROTTERDAM	3,7,8,9,17
49	5	HAMBURG,BREMERHAVEN,MOSS,OSLO,BREVIK	6	HAMBURG,BREMERHAVEN,MOSS,OSLO,BREVIK,HAMBURG	3,5,7,8,9,17
50	8	SETUBAL,LEIXOES,FERROL,TILBURY,DUNKERQUE,VLISSINGEN,ANTWERP,ROTTERDAM	9	SETUBAL,LEIXOES,FERROL,TILBURY,DUNKERQUE,VLISSINGEN,ANTWERP,ROTTERDAM,SETUBAL	3,5,5,8,9,10,10,11,17
51	4	DUBLIN,LIVERPOOL,SETUBAL,LEIXOES	5	DUBLIN,LIVERPOOL,SETUBAL,LEIXOES,DUBLIN	3,4,13,15,24
52	6	BREMERHAVEN,HAMBURG,GDYNIA,KLAIPEDA,RIGA,GDYNIA	7	BREMERHAVEN,HAMBURG,GDYNIA,KLAIPEDA,RIGA,GDYNIA,BREMERHAVEN	3,4,9,10,11,14,17
53	1	ROTTERDAM	2	ROTTERDAM,ROTTERDAM	3,24
54	4	ROTTERDAM,LEIXOES,LISBOA,VIGO	5	ROTTERDAM,LEIXOES,LISBOA,VIGO,ROTTERDAM	3,9,11,14,17
55	5	ROTTERDAM,OSLO,MOSS,LARVIK,BREVIK	6	ROTTERDAM,OSLO,MOSS,LARVIK,BREVIK,ROTTERDAM	3,7,8,8,9,17
56	2	ROTTERDAM,HELSINGBORG	3	ROTTERDAM,HELSINGBORG,ROTTERDAM	3,8,17
57	3	ROTTERDAM,OSLO,BREVIK	4	ROTTERDAM,OSLO,BREVIK,ROTTERDAM	3,7,8,17
58	4	ROTTERDAM,OSLO,BREVIK,FREDRIKSTAD	5	ROTTERDAM,OSLO,BREVIK,FREDRIKSTAD,ROTTERDAM	3,6,7,8,17
59	4	ROTTERDAM,MOSS,LARVIK,KRISTIANSAND	5	ROTTERDAM,MOSS,LARVIK,KRISTIANSAND,ROTTERDAM	3,7,8,9,17
60	5	HAMBURG,BREMERHAVEN,MOSS,OSLO,BREVIK	6	HAMBURG,BREMERHAVEN,MOSS,OSLO,BREVIK,HAMBURG	3,5,7,8,9,17
61	8	SETUBAL,LEIXOES,FERROL,TILBURY,DUNKERQUE,VLISSINGEN,ANTWERP,ROTTERDAM	9	SETUBAL,LEIXOES,FERROL,TILBURY,DUNKERQUE,VLISSINGEN,ANTWERP,ROTTERDAM,SETUBAL	3,5,5,8,9,10,10,11,17
62	4	DUBLIN,LIVERPOOL,SETUBAL,LEIXOES	5	DUBLIN,LIVERPOOL,SETUBAL,LEIXOES,DUBLIN	3,4,13,15,24
63	6	BREMERHAVEN,HAMBURG,GDYNIA,KLAIPEDA,RIGA,GDYNIA	7	BREMERHAVEN,HAMBURG,GDYNIA,KLAIPEDA,RIGA,GDYNIA,BREMERHAVEN	3,4,9,10,11,14,17
64	2	HAMBURG,SZCZECIN	3	HAMBURG,SZCZECIN,HAMBURG	3,9,17
65	5	BREMERHAVEN,HAMBURG,SZCZECIN,HELSINGBORG,SZCZECIN	6	BREMERHAVEN,HAMBURG,SZCZECIN,HELSINGBORG,SZCZECIN,BREMERHAVEN	3,5,6,7,9,17
66	8	VIGO,FERROL,LEIXOES,SETUBAL,ALGECIRAS,CARTAGENA, ES,VALENCIA,ALGECIRAS	9	VIGO,FERROL,LEIXOES,SETUBAL,ALGECIRAS,CARTAGENA, ES,VALENCIA,ALGECIRAS,VIGO	3,4,6,7,9,10,11,14,24
67	5	ROTTERDAM,LISBOA,LEIXOES,ROTTERDAM,FELIXSTOWE	6	ROTTERDAM,LISBOA,LEIXOES,ROTTERDAM,FELIXSTOWE,ROTTERDAM	3,10,12,15,17,24
68	2	LE HAVRE,PORTSMOUTH	3	LE HAVRE,PORTSMOUTH,LE HAVRE	3,4,10
69	2	ROTTERDAM,DUBLIN	3	ROTTERDAM,DUBLIN,ROTTERDAM	3,8,10
70	7	ROTTERDAM,STAVANGER,HAUGESUND,BERGEN,FLORO,ALESUND,MALOY	8	ROTTERDAM,STAVANGER,HAUGESUND,BERGEN,FLORO,ALESUND,MALOY,ROTTERDAM	3,7,7,8,8,9,9,17
71	2	ROTTERDAM,GOTHENBURG	3	ROTTERDAM,GOTHENBURG,ROTTERDAM	3,8,10
72	5	ROTTERDAM,UMEA,SUNDSVALL,UMEA,SUNDSVALL	6	ROTTERDAM,UMEA,SUNDSVALL,UMEA,SUNDSVALL,ROTTERDAM	3,9,10,20,20,31
73	8	BILBAO,ROTTERDAM,OSLO,AARHUS,HELSINGBORG,GDYNIA,TILBURY,FERROL	9	BILBAO,ROTTERDAM,OSLO,AARHUS,HELSINGBORG,GDYNIA,TILBURY,FERROL,BILBAO	3,6,9,10,12,13,17,20,24
74	3	BILBAO,TILBURY,ROTTERDAM	4	BILBAO,TILBURY,ROTTERDAM,BILBAO	3,6,7,10
75	3	ROTTERDAM,TEESPORT,GRANGEMOUTH	4	ROTTERDAM,TEESPORT,GRANGEMOUTH,ROTTERDAM	3,7,8,10
76	5	ROTTERDAM,DUNKERQUE,BILBAO,GIJON,VIGO	6	ROTTERDAM,DUNKERQUE,BILBAO,GIJON,VIGO,ROTTERDAM	3,7,10,12,14,17
77	12	LEIXOES,VIGO,LISBOA,TANGER MED,ALGECIRAS,CASABLANCA,VALENCIA,BARCELONA,ALGECIRAS,VALENCIA,ALGECIRAS,TANGER MED	13	LEIXOES,VIGO,LISBOA,TANGER MED,ALGECIRAS,CASABLANCA,VALENCIA,BARCELONA,ALGECIRAS,VALENCIA,ALGECIRAS,TANGER MED,LEIXOES	3,4,6,7,8,9,13,14,16,17,22,23,24
78	6	BREMERHAVEN,WILHELMSHAVEN,NORRKOPING,GAEVLE,GDANSK,GDYNIA	7	BREMERHAVEN,WILHELMSHAVEN,NORRKOPING,GAEVLE,GDANSK,GDYNIA,BREMERHAVEN	3,4,10,11,13,14,24
79	8	BREMERHAVEN,HAMBURG,KLAIPEDA,NORRKOPING,GAEVLE,RAUMA,GDANSK,GDYNIA	9	BREMERHAVEN,HAMBURG,KLAIPEDA,NORRKOPING,GAEVLE,RAUMA,GDANSK,GDYNIA,BREMERHAVEN	3,4,8,10,11,12,14,14,24
80	5	BREMERHAVEN,WILHELMSHAVEN,HELSINGBORG,HALMSTAD,GOTHENBURG	6	BREMERHAVEN,WILHELMSHAVEN,HELSINGBORG,HALMSTAD,GOTHENBURG,BREMERHAVEN	3,4,6,7,8,10
81	2	BELFAST,ANTWERP	3	BELFAST,ANTWERP,BELFAST	3,6,10
82	4	BREMERHAVEN,HAMBURG,COPENHAGEN,HELSINGBORG	5	BREMERHAVEN,HAMBURG,COPENHAGEN,HELSINGBORG,BREMERHAVEN	3,5,8,9,17
83	5	HAMBURG,BREMERHAVEN,HELSINGBORG,HALMSTAD,FREDRIKSTAD	6	HAMBURG,BREMERHAVEN,HELSINGBORG,HALMSTAD,FREDRIKSTAD,HAMBURG	3,5,7,8,9,17
84	3	ANTWERP,ROTTERDAM,GOTHENBURG	4	ANTWERP,ROTTERDAM,GOTHENBURG,ANTWERP	3,4,8,17
85	4	HAMBURG,WILHELMSHAVEN,OSLO,GOTHENBURG	5	HAMBURG,WILHELMSHAVEN,OSLO,GOTHENBURG,HAMBURG	3,6,8,9,17
86	4	SOUTHAMPTON,DUBLIN,BELFAST,CORK	5	SOUTHAMPTON,DUBLIN,BELFAST,CORK,SOUTHAMPTON	3,6,7,9,17
87	2	ROTTERDAM,CORK	3	ROTTERDAM,CORK,ROTTERDAM	3,6,10
88	6	ROTTERDAM,SOUTHAMPTON,BELFAST,DUBLIN,CORK,SOUTHAMPTON	7	ROTTERDAM,SOUTHAMPTON,BELFAST,DUBLIN,CORK,SOUTHAMPTON,ROTTERDAM	3,7,10,11,12,15,17
